alpha_nL,diffusion_distance_similarity_RMSE.ByUser_improvement,diffusion_distance_similarity_RMSE.ByUser_average,diffusion_distance_similarity_RMSE.ByRating_improvement,diffusion_distance_similarity_RMSE.ByRating_average,diffusion_distance_similarity_MAE.ByUser_improvement,diffusion_distance_similarity_MAE.ByUser_average,diffusion_distance_similarity_MAE.ByRating_improvement,diffusion_distance_similarity_MAE.ByRating_average,diffusion_norm_distance_similarity_RMSE.ByUser_improvement,diffusion_norm_distance_similarity_RMSE.ByUser_average,diffusion_norm_distance_similarity_RMSE.ByRating_improvement,diffusion_norm_distance_similarity_RMSE.ByRating_average,diffusion_norm_distance_similarity_MAE.ByUser_improvement,diffusion_norm_distance_similarity_MAE.ByUser_average,diffusion_norm_distance_similarity_MAE.ByRating_improvement,diffusion_norm_distance_similarity_MAE.ByRating_average,regular_distance_similarity_RMSE.ByUser_improvement,regular_distance_similarity_RMSE.ByUser_average,regular_distance_similarity_RMSE.ByRating_improvement,regular_distance_similarity_RMSE.ByRating_average,regular_distance_similarity_MAE.ByUser_improvement,regular_distance_similarity_MAE.ByUser_average,regular_distance_similarity_MAE.ByRating_improvement,regular_distance_similarity_MAE.ByRating_average
0.5,-0.187556410038,0.997417088996,-0.177413224583,1.01216420155,-0.103916021668,0.819753088567,-0.117173166676,0.799842606961,-1.17585869711,1.00725613114,-1.13813320862,1.02187104408,-1.17737981968,0.828543706346,-1.21442714368,0.808608640337,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
1.0,-0.0599198029064,0.996146402917,-0.0659401679785,1.01103790937,-0.00186126414006,0.818917359996,-0.00441138274425,0.798941745737,-1.93739738863,1.01483762861,-1.81148714047,1.02867442144,-1.93513638064,0.834748990873,-1.94796547368,0.814468925757,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
2.0,-0.0259877336242,0.995808592245,0.0943455000152,1.00941842839,0.0691397031815,0.818335931571,0.228512078842,0.797080905055,-2.68424701895,1.02227288914,-2.45327640856,1.03515887838,-2.76706612877,0.841561681202,-2.71239684814,0.820576017718,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
3.0,0.0291446236945,0.995259722133,0.178697160758,1.00856616311,0.148822069536,0.817683410985,0.396139577576,0.795741718067,-3.2198382228,1.02760496668,-2.79805113596,1.03864238454,-3.33554697489,0.846216982891,-3.05665823507,0.823326344325,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
4.0,0.0868537792364,0.994685198709,0.29269174428,1.00741439413,0.187885277195,0.81736352155,0.549680444945,0.794515070093,-3.3208238932,1.02861032939,-2.7997498817,1.03865954819,-3.38082399876,0.846587757399,-3.03250240729,0.823133361846,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
5.0,0.0909856502755,0.994644063872,0.369390535994,1.00663945127,0.181766406998,0.817413629108,0.645422187703,0.793750183084,-3.47030268956,1.03009846536,-2.81294976587,1.03879291608,-3.52942791,0.847804677975,-3.04393246081,0.823224677287,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
6.0,0.0251912673377,0.995299079767,0.349429597177,1.00684113094,0.143145184374,0.817729899118,0.649200242977,0.793719999955,-3.53476285391,1.03074019844,-2.7135355911,1.03778846342,-3.5768190957,0.848192765399,-2.95849782717,0.822542134443,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
7.0,0.0471017862112,0.995080949625,0.430477240426,1.00602224852,0.143514421751,0.817726875425,0.738027324328,0.793010354626,-3.48562712614,1.03025102777,-2.57419912859,1.03638064728,-3.59299792038,0.848325254137,-2.84989184836,0.821674474216,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
8.0,0.024098042728,0.995309963363,0.470112395543,1.00562178614,0.101619551886,0.818069953402,0.787923323866,0.792611732241,-3.42682424843,1.02966561579,-2.49310946043,1.03556134025,-3.51569409399,0.847692211465,-2.73152197903,0.820728809632,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
9.0,0.0569981840249,0.994982426049,0.518510640373,1.00513278398,0.156185907895,0.817623108357,0.843263584816,0.792169615297,-3.40472125312,1.02944556945,-2.38015936201,1.03442012445,-3.47495513006,0.847358599227,-2.59751656036,0.819658231628,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
10.0,0.0550826677859,0.995001495968,0.533626873184,1.00498005385,0.124742333807,0.817880600451,0.825791283812,0.792309202646,-3.37304132438,1.02913017996,-2.28457924099,1.03345440999,-3.46093119488,0.847243756924,-2.51619446413,0.819008544113,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
100.0,0.32166596616,0.992347526284,1.2620374577,0.997620399673,0.3839848783,0.815757657763,1.66716655431,0.785587400896,1.98236971173,0.975814392281,3.54072921718,0.974597143721,2.27055005099,0.800308535606,4.21666552136,0.765219287857,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
