Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,700,9400,0.9814632996793103,1.0199545848389109,189,4489,4489,1.0,0.9453139615290158,0.7945196421564003,0.7950992024997149
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8342,0.9631240750039183,0.987925641097474,189,4489,4489,1.0,0.9461934972731332,0.7867650972992627,0.7776669393222141
diffusion_cosine_similarity,ml-100k/u.data,2,319,7998,0.9880515562023838,1.0047968513705732,189,3994,3994,1.0,0.9453574290869642,0.8068997709388083,0.7853615683540445
diffusion_cosine_similarity,ml-100k/u.data,1,248,7962,0.9659226987190839,0.9690324657458583,189,3868,3868,1.0,0.9442145278995365,0.7909877650299068,0.7555733098263429
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8075,0.9483466080516718,0.9293962531984123,189,3868,3868,1.0,0.9464493538876408,0.7811188707653497,0.7319827281293692
diffusion_cosine_similarity,ml-100k/u.data,4,203,8125,0.9829605762663011,0.9819396296254069,188,3854,3854,1.0,0.9474282279773925,0.803610391621226,0.7669748697509186
diffusion_norm_cosine_similarity,ml-100k/u.data,4,2,7984,0.9399214681523204,0.9341106685778788,188,3854,3854,1.0,0.9515851629799723,0.7700030540713184,0.7317140430523389
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8157,0.959025970804402,0.9701759153642596,189,3994,3994,1.0,0.9467816967102687,0.7835836820798315,0.7649205447466347
regular_cosine_similarity,ml-100k/u.data,2,3,1826,0.9283718775989497,0.9382653330185203,189,3994,3994,1.0,0.9549568874083018,0.7528698696909337,0.7307352271395736
regular_cosine_similarity,ml-100k/u.data,4,2,1688,0.9163918389724691,0.9060411988596588,188,3854,3854,1.0,0.9548855224027218,0.7466639542128803,0.7057282646906409
regular_cosine_similarity,ml-100k/u.data,1,2,1699,0.9099830062533789,0.8889232733765764,189,3868,3868,1.0,0.9546476513143687,0.748801687409675,0.697989287287415
diffusion_cosine_similarity,ml-100k/u.data,3,320,8269,0.9753489110955217,1.0322383461840585,188,3795,3795,1.0,0.9381531371850906,0.8031154993523444,0.7985573071635271
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8232,0.9482236600912775,0.9751896294958375,188,3795,3795,1.0,0.9416219124434336,0.7799252230286274,0.7558424641804299
regular_cosine_similarity,ml-100k/u.data,0,3,1809,0.9320078490971884,0.9498213482092188,189,4489,4489,1.0,0.950829897744886,0.7578768017825009,0.7448066693624131
regular_cosine_similarity,ml-100k/u.data,3,2,1655,0.9259038766308441,0.9517390939893489,188,3795,3795,1.0,0.9488102878116205,0.7580296851165039,0.7308670145342409
