Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,1,668,9804,0.9912268467653284,0.9788954507803799,189,3868,3868,1.0,0.9375509345359362,0.821578893262624,0.7791343901254254
regular_distance_similarity,ml-100k/u.data,1,3,3801,0.9931650542452586,0.9888909404486311,189,3868,3868,1.0,0.9346209029235856,0.8234274311200497,0.7869662885903886
diffusion_distance_similarity,ml-100k/u.data,2,322,8778,1.0055431126255971,1.0211387286864624,189,3994,3994,1.0,0.9371397428942804,0.8208272263359793,0.8059229588759806
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8476,1.0132239973138883,1.006596358884075,189,3868,3868,1.0,0.9322588666531688,0.8393575369052402,0.8027380897813846
diffusion_distance_similarity,ml-100k/u.data,0,206,9048,1.004380719349625,1.0339684687908783,189,4489,4489,1.0,0.9368143646550509,0.8222529583629006,0.8163611998082335
regular_distance_similarity,ml-100k/u.data,0,2,3977,1.0081019876234634,1.0389960580773612,189,4489,4489,1.0,0.938448862428127,0.8242961942033391,0.8206032919862887
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8558,1.0351081443984818,1.0473936669020796,189,3994,3994,1.0,0.9327962278915002,0.8458250745980717,0.8311254486737278
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8852,1.0253376686696556,1.0561403141529855,189,4489,4489,1.0,0.9331799628325621,0.8383019225151764,0.8362821519881152
diffusion_distance_similarity,ml-100k/u.data,3,200,8475,0.9811458767820369,1.012183797504298,188,3795,3795,1.0,0.933407324628352,0.8081486619391669,0.7900681863186179
regular_distance_similarity,ml-100k/u.data,3,2,3603,0.9777046453010548,1.0117721823934063,188,3795,3795,1.0,0.9374303822304352,0.8064006214202696,0.792777354189521
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8640,0.9985322067835906,1.0302060394701826,188,3795,3795,1.0,0.9318211990371394,0.8252029324127501,0.8083792522351346
diffusion_distance_similarity,ml-100k/u.data,4,276,8803,0.9916234114132276,0.9807748017894169,188,3854,3854,1.0,0.9415112068345249,0.8167703992726336,0.7768784660914456
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8516,1.0133560344857093,1.0077917147455315,188,3854,3854,1.0,0.9396773815855539,0.8354352079819912,0.8007459651155635
regular_distance_similarity,ml-100k/u.data,4,3,3652,0.9908361381162464,0.9869724407850303,188,3854,3854,1.0,0.9434264913576644,0.8155183871874017,0.7821356555026415
regular_distance_similarity,ml-100k/u.data,2,2,3776,1.007941531696874,1.0252267212601671,189,3994,3994,1.0,0.9381324178482394,0.8248679563931977,0.8120499242969347
