Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,4,730,10224,0.9884618898420376,0.9865415562310946,188,3854,3854,1.0,0.9422620738438519,0.8139147871237741,0.7823782871984093
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,9056,1.0213891208837087,1.0152106665484721,188,3854,3854,1.0,0.937657873932391,0.8425126432986197,0.8078983117750179
diffusion_distance_similarity,ml-100k/u.data,0,313,9282,1.006123447365561,1.0374681588151184,189,4489,4489,1.0,0.9370953602604352,0.8216617295781056,0.8180921104649499
regular_distance_similarity,ml-100k/u.data,0,2,4213,1.0081019876234634,1.0389960580773612,189,4489,4489,1.0,0.938448862428127,0.8242961942033391,0.8206032919862887
diffusion_distance_similarity,ml-100k/u.data,3,305,8990,0.9816002946739093,1.0124625485554615,188,3795,3795,1.0,0.9342801063185454,0.8083442310884567,0.7905142787374787
regular_distance_similarity,ml-100k/u.data,3,2,3605,0.9777046453010548,1.0117721823934063,188,3795,3795,1.0,0.9374303822304352,0.8064006214202696,0.792777354189521
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8595,1.006435492091052,1.0351280355318617,188,3795,3795,1.0,0.9323987018335378,0.834436032313579,0.8139317314658453
diffusion_distance_similarity,ml-100k/u.data,2,186,9100,1.0091478448032825,1.02463384140115,189,3994,3994,1.0,0.9365279587057298,0.8255020255378797,0.8107385801404883
diffusion_distance_similarity,ml-100k/u.data,1,172,9236,0.9937094845414792,0.9859860369480433,189,3868,3868,1.0,0.9353233447387633,0.8222568845271553,0.7836812687353774
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,9108,1.0326528045274808,1.0493471922607576,189,3994,3994,1.0,0.9310321563134363,0.8427377874625217,0.8314955715464293
regular_distance_similarity,ml-100k/u.data,1,2,3619,0.9931650542452586,0.9888909404486311,189,3868,3868,1.0,0.9346209029235856,0.8234274311200497,0.7869662885903886
regular_distance_similarity,ml-100k/u.data,4,3,3748,0.9908361381162464,0.9869724407850303,188,3854,3854,1.0,0.9434264913576644,0.8155183871874017,0.7821356555026415
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,9331,1.0329507555793378,1.0633277240035997,189,4489,4489,1.0,0.9315411968079267,0.8453248840632412,0.8424208775676171
regular_distance_similarity,ml-100k/u.data,2,3,3771,1.007941531696874,1.0252267212601671,189,3994,3994,1.0,0.9381324178482394,0.8248679563931977,0.8120499242969347
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8926,1.0179362726269126,1.0127807735417769,189,3868,3868,1.0,0.9313680513861522,0.8427970588701674,0.8071335962337702
