Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,938,9544,0.9325185378207549,0.9473246978456347,189,4489,4489,1.0,0.9545916257155834,0.7579463045234484,0.7420949444080037
regular_cosine_similarity,ml-100k/u.data,0,4,1810,0.9320078490971884,0.9498213482092188,189,4489,4489,1.0,0.950829897744886,0.7578768017825009,0.7448066693624131
diffusion_cosine_similarity,ml-100k/u.data,1,296,7955,0.9092508460430719,0.8890472612663504,189,3868,3868,1.0,0.9551638253189708,0.7501500828172076,0.6988206756591604
regular_cosine_similarity,ml-100k/u.data,1,2,1695,0.9099830062533789,0.8889232733765764,189,3868,3868,1.0,0.9546476513143687,0.748801687409675,0.697989287287415
diffusion_cosine_similarity,ml-100k/u.data,2,292,7858,0.9252067075619415,0.9355278842022394,189,3994,3994,1.0,0.9548291145441727,0.7530397535603878,0.7316536329388206
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7740,0.9247461756106833,0.933626498462474,189,3994,3994,1.0,0.9555887595166138,0.7499840504368437,0.7267570025869842
diffusion_norm_cosine_similarity,ml-100k/u.data,1,2,7698,0.9061021971632184,0.8854792587534356,189,3868,3868,1.0,0.9554633923596566,0.7455216773008247,0.6949967750351029
diffusion_cosine_similarity,ml-100k/u.data,4,208,7692,0.9153253903686713,0.9082418331115331,188,3854,3854,1.0,0.9542200680513611,0.7444183890900489,0.7057866941638202
regular_cosine_similarity,ml-100k/u.data,4,2,1581,0.9163918389724691,0.9060411988596588,188,3854,3854,1.0,0.9548855224027218,0.7466639542128803,0.7057282646906409
diffusion_cosine_similarity,ml-100k/u.data,3,176,7713,0.9195145506111685,0.9472806315280515,188,3795,3795,1.0,0.9502369173972106,0.7549618764357225,0.7299934313191326
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8081,0.9276941846226041,0.9451282380833793,189,4489,4489,1.0,0.9520171124899587,0.7532888220345613,0.7401109505928636
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7793,0.9209466969679273,0.9462400673547356,188,3795,3795,1.0,0.9500396344238444,0.7539113907579791,0.7264226548567588
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7637,0.9120083208329703,0.901869254583643,188,3854,3854,1.0,0.9563205192477912,0.7424412833525117,0.701806711922917
regular_cosine_similarity,ml-100k/u.data,3,3,1554,0.9259038766308441,0.9517390939893489,188,3795,3795,1.0,0.9488102878116205,0.7580296851165039,0.7308670145342409
regular_cosine_similarity,ml-100k/u.data,2,2,1633,0.9283718775989497,0.9382653330185203,189,3994,3994,1.0,0.9549568874083018,0.7528698696909337,0.7307352271395736
