Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,794,9041,0.9362043922389008,0.9498125549963053,189,3994,3994,1.0,0.9535932987317954,0.7594898824920026,0.7437278557180642
diffusion_cosine_similarity,ml-100k/u.data,0,335,8298,0.9465227953988176,0.9636403707062842,189,4489,4489,1.0,0.9516576174753343,0.7690609390979944,0.757161352374937
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8183,0.9687668335474408,0.9896514818202881,189,4489,4489,1.0,0.9433713802584769,0.7927799603791046,0.7790770587611632
regular_cosine_similarity,ml-100k/u.data,2,3,1751,0.9283718775989497,0.9382653330185203,189,3994,3994,1.0,0.9549568874083018,0.7528698696909337,0.7307352271395736
diffusion_cosine_similarity,ml-100k/u.data,3,269,7733,0.9322978554133877,0.9618275019648888,188,3795,3795,1.0,0.9457617096828294,0.7621032402357776,0.746013794424287
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7737,0.9457877475528307,0.9755385869355976,188,3795,3795,1.0,0.9431781006914063,0.7744382631599821,0.7578831457724358
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7804,0.9549253366555,0.973183196896963,189,3994,3994,1.0,0.9473478235577977,0.778910660284422,0.7647949662004927
diffusion_cosine_similarity,ml-100k/u.data,4,213,7960,0.9293495817208377,0.9287754186430462,188,3854,3854,1.0,0.9527274124406593,0.7588439583441859,0.7265037877644579
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7720,0.9423578563242136,0.9389436632163524,188,3854,3854,1.0,0.9481838919998717,0.7773715368691014,0.7392618310338972
diffusion_cosine_similarity,ml-100k/u.data,1,172,7853,0.924817135974959,0.9107273745463511,189,3868,3868,1.0,0.9528827038641042,0.7608204949814181,0.7178868519755361
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7741,0.9472008319432181,0.9317542470775705,189,3868,3868,1.0,0.9451937777820716,0.7822187813838927,0.7353617615753386
regular_cosine_similarity,ml-100k/u.data,1,3,1650,0.9099830062533789,0.8889232733765764,189,3868,3868,1.0,0.9546476513143687,0.748801687409675,0.697989287287415
regular_cosine_similarity,ml-100k/u.data,4,2,1584,0.9163918389724691,0.9060411988596588,188,3854,3854,1.0,0.9548855224027218,0.7466639542128803,0.7057282646906409
regular_cosine_similarity,ml-100k/u.data,0,3,1723,0.9320078490971884,0.9498213482092188,189,4489,4489,1.0,0.950829897744886,0.7578768017825009,0.7448066693624131
regular_cosine_similarity,ml-100k/u.data,3,2,1577,0.9259038766308441,0.9517390939893489,188,3795,3795,1.0,0.9488102878116205,0.7580296851165039,0.7308670145342409
