Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,164,1691,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,168,1689,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,161,1705,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,173,1728,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,204,1750,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,38073,0.9013592481996325,0.938563924097398,188,1880,1880,1.0,0.9518280813906892,0.7376830528783738,0.7376830528783731
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,38032,0.8808745823102827,0.9194652467407335,188,1880,1880,1.0,0.9492849994378298,0.7254599043509926,0.725459904350993
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,38848,0.91431597064434,0.9460684321033996,189,1890,1890,1.0,0.9500265901641023,0.7544292581737627,0.7544292581737629
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,37852,0.8798519252144275,0.919860950413522,189,1890,1890,1.0,0.9540570290310767,0.7268329915717685,0.7268329915717681
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,1,37675,0.9270131873716486,0.9647722677478455,189,1890,1890,1.0,0.949627763492244,0.7605144530045124,0.7605144530045125
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,37695,0.8800226721188813,0.9187306025139044,188,1880,1880,1.0,0.9485378549372077,0.7242070836385199,0.7242070836385203
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,37667,0.9153927438249656,0.9478260496980587,189,1890,1890,1.0,0.9491522929253903,0.7559426022694627,0.7559426022694631
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,37541,0.8814873188556925,0.9212914255629555,189,1890,1890,1.0,0.953149580529696,0.728661321412708,0.7286613214127086
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,30069,0.9252867205432425,0.9626390956987669,189,1890,1890,1.0,0.9493069043586952,0.7599024928276907,0.7599024928276914
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,1,30098,0.8984939546786704,0.9353811788151752,188,1880,1880,1.0,0.950926533597539,0.7363057414368039,0.7363057414368039
