Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,208,1814,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,197,1843,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,211,1838,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,212,1862,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,43634,0.8790460881812712,0.9171842949981073,188,1880,1880,1.0,0.9500847061012732,0.7236649680805355,0.723664968080535
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,43698,0.8791411778852181,0.9189619527802583,189,1890,1890,1.0,0.9538748656035585,0.7261591838628019,0.726159183862802
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,43737,0.9262679312102018,0.9640517629996356,189,1890,1890,1.0,0.9495129136137989,0.7603450558607167,0.7603450558607164
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,43905,0.914258257928375,0.9462265265751288,189,1890,1890,1.0,0.94959030658575,0.7541849466321379,0.7541849466321372
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,44207,0.880353627463284,0.920104849332826,189,1890,1890,1.0,0.9534005252210016,0.72679222591434,0.7267922259143402
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,44080,0.9172649779443837,0.9492312304148746,189,1890,1890,1.0,0.9486583815082785,0.7575563994897373,0.7575563994897372
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,45030,0.9264028301945443,0.9641181092436524,189,1890,1890,1.0,0.9502583170723367,0.7598741672746538,0.7598741672746534
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,45232,0.8830642618440667,0.9221478182054009,188,1880,1880,1.0,0.9491866555639887,0.7264118617264732,0.7264118617264733
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,204,1672,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,31764,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,31382,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
