Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2347,98,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2349,100,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2354,96,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2357,95,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2694,99,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,34733,107,0.9029170572195473,0.9368775303275501,189,1890,1890,1.0,0.9517516935343078,0.7405541079049891,0.7405541079049892
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,34755,103,0.8740529512942644,0.9101753386927327,188,1880,1880,1.0,0.95722837015893,0.7159735172301326,0.7159735172301331
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,34841,110,0.8774528788662797,0.9187163536438314,189,1890,1890,1.0,0.9541449309497055,0.7246810086442347,0.7246810086442346
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,34396,106,0.867293020590486,0.9062637408558016,188,1880,1880,1.0,0.9514079782420188,0.7129763625416842,0.7129763625416844
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,35639,107,0.9013087662350658,0.9353783949728987,189,1890,1890,1.0,0.9522279142297079,0.7395091991376822,0.7395091991376824
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,35653,110,0.9109031743715251,0.9475870959212146,189,1890,1890,1.0,0.9526228010971323,0.7525498593215374,0.7525498593215381
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,35688,127,0.8788225910841825,0.9207750598689947,189,1890,1890,1.0,0.9537112746181012,0.725605129249848,0.7256051292498482
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,35306,100,0.8685322541153682,0.9072982296346197,188,1880,1880,1.0,0.9509367704034009,0.7152244853839488,0.7152244853839496
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,29615,84,0.8744290136655842,0.9101847180275561,188,1880,1880,1.0,0.9579913028106943,0.7165137204291179,0.7165137204291179
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,29626,83,0.91456067186813,0.9521030151217205,189,1890,1890,1.0,0.9518755339453694,0.7550073552058261,0.7550073552058262
