Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,192,1761,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,197,1783,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,191,1810,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,197,1835,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,187,1730,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,39158,0.9175906076168626,0.9541191941511988,189,1890,1890,1.0,0.9517150265610513,0.7524113131282169,0.7524113131282172
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,39153,0.9103037575467617,0.9426067058700646,189,1890,1890,1.0,0.9495723979508267,0.7492792925115096,0.7492792925115093
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,39249,0.8708830489069592,0.9080749280831502,188,1880,1880,1.0,0.9518122842613348,0.7172065356946153,0.7172065356946152
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,39226,0.8759165004850037,0.9165706852140727,189,1890,1890,1.0,0.953617861545394,0.7234871832756216,0.7234871832756221
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,39150,0.887554741343956,0.9289361527992241,188,1880,1880,1.0,0.9451443558901352,0.7326963066988205,0.7326963066988206
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,39326,0.931547204386397,0.9685860120323332,189,1890,1890,1.0,0.9507870995746394,0.7675244312311541,0.767524431231154
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,1,39821,0.8937119345746443,0.9304823831673443,188,1880,1880,1.0,0.9522705250260436,0.7305790708074725,0.7305790708074726
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,38856,0.8958708245899777,0.9352389125881272,189,1890,1890,1.0,0.9533214875630353,0.7376779033624354,0.7376779033624346
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,1,29922,0.9268541994351089,0.961146652774843,189,1890,1890,1.0,0.9488252843362197,0.7620720433625844,0.7620720433625836
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,29923,0.9015108142189098,0.9383573964882495,188,1880,1880,1.0,0.9512611639663587,0.7420773181137845,0.7420773181137843
