alpha_nL,diffusion_cosine_similarity_useruserCF_RMSE.ByUser_improvement,diffusion_cosine_similarity_useruserCF_RMSE.ByUser_average,diffusion_cosine_similarity_useruserCF_RMSE.ByRating_improvement,diffusion_cosine_similarity_useruserCF_RMSE.ByRating_average,diffusion_cosine_similarity_useruserCF_MAE.ByUser_improvement,diffusion_cosine_similarity_useruserCF_MAE.ByUser_average,diffusion_cosine_similarity_useruserCF_MAE.ByRating_improvement,diffusion_cosine_similarity_useruserCF_MAE.ByRating_average,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByUser_average,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByRating_average,diffusion_norm_cosine_similarity_useruserCF_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_useruserCF_MAE.ByUser_average,diffusion_norm_cosine_similarity_useruserCF_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_useruserCF_MAE.ByRating_average,regular_cosine_similarity_useruserCF_RMSE.ByUser_improvement,regular_cosine_similarity_useruserCF_RMSE.ByUser_average,regular_cosine_similarity_useruserCF_RMSE.ByRating_improvement,regular_cosine_similarity_useruserCF_RMSE.ByRating_average,regular_cosine_similarity_useruserCF_MAE.ByUser_improvement,regular_cosine_similarity_useruserCF_MAE.ByUser_average,regular_cosine_similarity_useruserCF_MAE.ByRating_improvement,regular_cosine_similarity_useruserCF_MAE.ByRating_average
0.5,-0.371768339665,0.904739534048,-0.456801256563,0.94261829352,-0.563887831012,0.745781507897,-0.563887831012,0.745781507897,-0.227009428336,0.90343469393,-0.312391357708,0.941263249255,-0.425723041277,0.744756878207,-0.425723041277,0.744756878207,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
1.0,-0.388790764689,0.904892972222,-0.478703157665,0.942823806062,-0.584745000941,0.74593618461,-0.584745000941,0.74593618461,-0.147646675386,0.902719327236,-0.234880330345,0.940535938496,-0.346431781665,0.744168854449,-0.346431781665,0.744168854449,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
2.0,-0.422744935308,0.905199031197,-0.50207190252,0.943043082469,-0.569369430511,0.745822159423,-0.569369430511,0.745822159423,-0.0870054037062,0.902172713813,-0.197380208734,0.940184062862,-0.298365485823,0.743812394935,-0.298365485823,0.743812394935,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
3.0,-0.521118991403,0.906085763583,-0.60148381501,0.943975896237,-0.688362583627,0.74670461231,-0.688362583627,0.74670461231,-0.0746582300784,0.902061417815,-0.179855583884,0.940019623702,-0.274133738964,0.743632692369,-0.274133738964,0.743632692369,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
4.0,-0.601435664616,0.906809728805,-0.677789653461,0.944691898323,-0.762425402829,0.747253861968,-0.762425402829,0.747253861968,-0.0724517556647,0.902041528909,-0.169795846932,0.939925229973,-0.26104513907,0.743535627349,-0.26104513907,0.743535627349,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
5.0,-0.62320211637,0.907005929088,-0.703060907199,0.944929026578,-0.821499000722,0.747691951603,-0.821499000722,0.747691951603,-0.127486978266,0.902537610053,-0.212752366853,0.940328304738,-0.352939016065,0.744217112081,-0.352939016065,0.744217112081,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
6.0,-0.679081863935,0.907509622683,-0.764452384737,0.945505082446,-0.892337846493,0.748217292283,-0.892337846493,0.748217292283,-0.166496404617,0.902889236519,-0.253961863167,0.940714986621,-0.41876180693,0.744705253712,-0.41876180693,0.744705253712,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
7.0,-0.709252922932,0.907781581126,-0.806372370119,0.945898431075,-0.920771769782,0.748428158178,-0.920771769782,0.748428158178,-0.219658945514,0.903368437527,-0.30823907439,0.941224287052,-0.509447992353,0.745377782207,-0.509447992353,0.745377782207,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
8.0,-0.743154490802,0.908087165945,-0.817534547822,0.946003169358,-0.959893852579,0.748718287433,-0.959893852579,0.748718287433,-0.257147275802,0.903706353009,-0.346296974118,0.941581396497,-0.563917311856,0.745781726526,-0.563917311856,0.745781726526,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
9.0,-0.818571793914,0.90876696881,-0.888401835819,0.946668139786,-1.03092814389,0.749245077537,-1.03092814389,0.749245077537,-0.35001706591,0.904543470577,-0.430781941916,0.942374145969,-0.650949547796,0.746427157342,-0.650949547796,0.746427157342,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
