Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,187,1865,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,180,1873,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,185,1876,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,182,1882,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,34183,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,195,1711,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,37690,0.9278941879065589,0.9618404157292784,189,1890,1890,1.0,0.9472157342650547,0.7629050366225594,0.7629050366225586
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,37712,0.92907710607109,0.9683012354146173,189,1890,1890,1.0,0.9496160591020715,0.7643112782042215,0.7643112782042214
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,38222,0.8939832840813566,0.9317876104815789,189,1890,1890,1.0,0.9509228338164044,0.7361057728162644,0.7361057728162647
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,1,34813,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,38054,0.8828792021872411,0.9219379219047374,188,1880,1880,1.0,0.9480409877548741,0.7257762972383596,0.7257762972383596
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,38263,0.9232379916958814,0.9595534269214957,189,1890,1890,1.0,0.952064558989458,0.7579867045395648,0.7579867045395652
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,38306,0.9214343185161052,0.9541804120923222,189,1890,1890,1.0,0.9464237527313235,0.7608397829420463,0.7608397829420462
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,33586,0.8883343413504083,0.9267987503720045,189,1890,1890,1.0,0.9516347162403355,0.7314533419709495,0.7314533419709492
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,33431,0.890102472204653,0.9293278129024554,188,1880,1880,1.0,0.9478926623620941,0.7321087139051948,0.7321087139051944
