Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2958,106,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2959,113,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2976,116,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,3008,109,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,39701,151,0.8685467794376401,0.9073074505216989,188,1880,1880,1.0,0.9512085466390182,0.7145073832987792,0.7145073832987795
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,39813,144,0.8732969378393228,0.9129416679683036,189,1890,1890,1.0,0.9549369844568082,0.7196825409732891,0.7196825409732881
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,39893,132,0.8962473207760009,0.9306139832212987,189,1890,1890,1.0,0.954719733959308,0.7364689832523482,0.7364689832523481
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,39950,135,0.8718818057011164,0.9089666961092162,188,1880,1880,1.0,0.9548869358698749,0.7144518242842898,0.7144518242842897
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,40663,124,0.8723465353688775,0.9107624747104566,188,1880,1880,1.0,0.9500499219451454,0.7199875004197728,0.7199875004197727
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,40659,135,0.8773665448072683,0.9171366626771509,189,1890,1890,1.0,0.9539816898681862,0.7222365157031795,0.7222365157031797
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,40670,119,0.899614048703892,0.9340238053661342,189,1890,1890,1.0,0.9542255646559739,0.7399768016417839,0.7399768016417838
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,40676,112,0.8754908113656108,0.9120672200633514,188,1880,1880,1.0,0.9562183429308392,0.7183466438752538,0.7183466438752536
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2031,81,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,29671,86,0.9050389996019012,0.9416625686016714,189,1890,1890,1.0,0.9545244963944987,0.7474694571206445,0.7474694571206435
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,29859,91,0.9164173576023811,0.9557537739748887,189,1890,1890,1.0,0.9512327852633241,0.7573233870543536,0.7573233870543538
