Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2120,96,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2146,89,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2154,85,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2162,88,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,33107,98,0.8666168794074259,0.9054090997659239,188,1880,1880,1.0,0.9511372711305567,0.7127009536994668,0.7127009536994663
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,33136,100,0.8729971245281584,0.9130257172779829,189,1890,1890,1.0,0.955005836394529,0.7199545471655817,0.7199545471655815
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,33124,101,0.8960472297158972,0.9304445453136805,189,1890,1890,1.0,0.9541294327041269,0.7359054796652655,0.7359054796652655
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,33114,101,0.8698735868226928,0.9065078470986266,188,1880,1880,1.0,0.9552373573395999,0.7122911405341112,0.7122911405341117
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2324,99,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,33162,101,0.8727148922410255,0.9087244314575251,188,1880,1880,1.0,0.957633291240051,0.7151114574441706,0.7151114574441713
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,33197,97,0.871646098817872,0.9101050377526109,188,1880,1880,1.0,0.9496685811467775,0.7195937928677363,0.7195937928677361
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,33187,102,0.8972306140116498,0.9317577381874742,189,1890,1890,1.0,0.954192184824092,0.7359805637705754,0.7359805637705749
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,32642,80,0.9046982061671798,0.941399089416867,189,1890,1890,1.0,0.954405542073699,0.74743533908116,0.7474353390811601
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,28076,80,0.8746537896793682,0.9145417152591251,189,1890,1890,1.0,0.9545792845445052,0.7203004396619964,0.720300439661997
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,28293,74,0.9141100138441519,0.9532963890859557,189,1890,1890,1.0,0.952011869704421,0.7537509578771429,0.7537509578771424
