Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2377,90,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2387,88,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2389,91,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2408,89,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2185,92,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,36835,91,0.9193233412289435,0.9570508516953563,189,1890,1890,1.0,0.9533739896498069,0.7564096886930105,0.7564096886930101
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,36874,93,0.8913147775685513,0.9310280531873183,189,1890,1890,1.0,0.9512171932029778,0.7339616836451913,0.7339616836451907
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,36899,93,0.8894249312392921,0.9302463118183182,188,1880,1880,1.0,0.9517916810105748,0.730802867476207,0.7308028674762068
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,36938,103,0.8899823480637449,0.9285111901410225,188,1880,1880,1.0,0.9473620937338304,0.7336648075966294,0.7336648075966293
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,39100,128,0.8886708702758338,0.928920634618276,188,1880,1880,1.0,0.9516065813925255,0.7300168336726663,0.7300168336726665
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,39242,110,0.9214172821021581,0.9587911270804578,189,1890,1890,1.0,0.9518511884025649,0.7579145806132063,0.7579145806132058
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,39264,107,0.8857639122903087,0.9248551985797626,189,1890,1890,1.0,0.9552455936394167,0.7282582734554238,0.7282582734554238
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,38769,78,0.8818571075599412,0.9206422803785167,188,1880,1880,1.0,0.9481740992382862,0.7277119200023986,0.7277119200023987
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,31813,89,0.9110548478850559,0.9428216943673009,189,1890,1890,1.0,0.9502856185515416,0.7508578883563441,0.7508578883563439
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,32650,115,0.912499194376256,0.9461934584581233,189,1890,1890,1.0,0.9505456661435372,0.7501622240602627,0.750162224060262
