Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2596,110,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2597,109,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2618,104,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2636,109,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2735,127,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,39234,121,0.867499201222126,0.9065708267578265,188,1880,1880,1.0,0.9513906565672666,0.7132095622031129,0.7132095622031134
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,39249,122,0.9034776531386385,0.9377061939224193,189,1890,1890,1.0,0.9518400088105756,0.7407847388629756,0.7407847388629759
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,39297,118,0.911704879864125,0.9485234088160691,189,1890,1890,1.0,0.9524943699182232,0.753398579897594,0.753398579897594
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,39041,127,0.8779744060300289,0.919144965511094,189,1890,1890,1.0,0.9538457025140223,0.7249813961247698,0.7249813961247694
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,38148,109,0.8681602178160417,0.9068400737600797,188,1880,1880,1.0,0.9518532553312619,0.7150928186123412,0.7150928186123408
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,38158,112,0.902177206184626,0.9362153670312487,189,1890,1890,1.0,0.9523818289680451,0.7401618243923204,0.7401618243923196
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,38225,115,0.9136295040858887,0.9511752451806195,189,1890,1890,1.0,0.9527147574511018,0.7548435910604037,0.754843591060404
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,37244,89,0.8746824253505577,0.9107124911070495,188,1880,1880,1.0,0.957103577770909,0.7164698872594014,0.7164698872594012
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,29926,87,0.8780605438689038,0.9196554539736147,189,1890,1890,1.0,0.9541384104049112,0.7252517635578006,0.7252517635578
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,29472,76,0.8753551328494162,0.9113635502393815,188,1880,1880,1.0,0.9576141726139347,0.7164533766421984,0.7164533766421979
