Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,198,1682,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,195,1687,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,193,1695,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,203,1725,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,36713,0.8775457457745929,0.9175389062231369,189,1890,1890,1.0,0.9540704467314559,0.7246704393036848,0.7246704393036845
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,36731,0.9126008277130888,0.9444572459154411,189,1890,1890,1.0,0.9488219917671409,0.7526984301684985,0.7526984301684986
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,36773,0.898799319558036,0.9359189078004546,188,1880,1880,1.0,0.9516380634791128,0.7352287007294674,0.735228700729467
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,36737,0.8781334263503852,0.9160234490845018,188,1880,1880,1.0,0.9504319079534307,0.7228055407436437,0.7228055407436441
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,215,1851,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,38100,0.8849848463873594,0.9241443039771731,189,1890,1890,1.0,0.9538302127627937,0.7307954945648031,0.7307954945648037
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,38339,0.9165861808630351,0.949887295921919,189,1890,1890,1.0,0.9494702849837138,0.7565581083037382,0.7565581083037384
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,1,38431,0.8941038821738998,0.9311163351195363,188,1880,1880,1.0,0.9518897329832704,0.7341445249040052,0.7341445249040048
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,37850,0.9252586575114309,0.9629523120102397,189,1890,1890,1.0,0.9496330553379931,0.7598412051697218,0.7598412051697209
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,1,29842,0.8805203669641636,0.920119406804031,188,1880,1880,1.0,0.9478730570709742,0.7252501253118606,0.7252501253118613
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,29826,0.9267229516865623,0.9637519052666643,189,1890,1890,1.0,0.9494638972046816,0.7625379875376702,0.7625379875376701
