Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2164,107,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2184,108,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2196,101,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2200,102,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2176,91,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,34075,96,0.8770881728723906,0.9180970134917051,189,1890,1890,1.0,0.9540145903314272,0.7241636792885162,0.7241636792885164
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,34080,94,0.8739344575005519,0.9099735278051228,188,1880,1880,1.0,0.9576416406652964,0.7158035366236383,0.7158035366236382
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,34098,93,0.9109789734601179,0.9477096521929672,189,1890,1890,1.0,0.9526527732065012,0.7528064129418666,0.7528064129418667
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,33930,93,0.867372045472683,0.9065144796158827,188,1880,1880,1.0,0.9510984120970705,0.7129388394100165,0.7129388394100158
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,35737,139,0.8759230672936985,0.9116165763357368,188,1880,1880,1.0,0.9581951773548357,0.717324905429749,0.7173249054297495
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,35871,153,0.8786947460065347,0.9199805854774368,189,1890,1890,1.0,0.9536233411779526,0.7252147789110501,0.72521477891105
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,35877,135,0.9149882681009809,0.9529319633582032,189,1890,1890,1.0,0.9520956323277868,0.755612304921303,0.7556123049213037
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,35675,84,0.8683043930711478,0.9069183625517411,188,1880,1880,1.0,0.9518948903371359,0.7152535626359898,0.7152535626359898
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,29257,86,0.9024758710292686,0.9365940044623864,189,1890,1890,1.0,0.951709236503807,0.7400488930711111,0.7400488930711118
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,28189,85,0.902986928519133,0.9371429978547086,189,1890,1890,1.0,0.9525150559616674,0.7412745478661391,0.7412745478661391
