Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2030,98,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2028,101,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2043,99,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2067,93,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,32455,96,0.8733525208096589,0.9093299861422317,188,1880,1880,1.0,0.9574338629405061,0.7151621441586702,0.71516214415867
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,32488,96,0.9109677298450214,0.9476156693232886,189,1890,1890,1.0,0.952802800050259,0.7526684811029662,0.7526684811029661
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,32486,95,0.9020583374883653,0.9360481314399474,189,1890,1890,1.0,0.9518729246327782,0.7395722884781029,0.7395722884781031
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,32520,94,0.8768077068222464,0.9179888564089629,189,1890,1890,1.0,0.953672635090219,0.7239991240719446,0.7239991240719446
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,32468,99,0.8754321949947246,0.9112495677521377,188,1880,1880,1.0,0.9581374580855186,0.7171869784750761,0.7171869784750763
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,32467,97,0.9016238016763272,0.9356066726111258,189,1890,1890,1.0,0.9521940542079956,0.7398568654269904,0.7398568654269899
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,32537,104,0.9148736025263449,0.9528423440095027,189,1890,1890,1.0,0.951118725552187,0.7559323627622506,0.7559323627622508
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,32519,100,0.8783345126716643,0.9200761698489074,189,1890,1890,1.0,0.9535403776563027,0.7247960907943782,0.7247960907943789
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,1765,80,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,26725,74,0.8668452842138864,0.9059661632349771,188,1880,1880,1.0,0.9514204575398371,0.7129117442584586,0.7129117442584586
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,26949,74,0.8692648726628788,0.9079053431807356,188,1880,1880,1.0,0.9505894414250269,0.7159753203333742,0.7159753203333739
