Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2167,106,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2188,102,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2209,96,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2236,94,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2184,101,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,33799,115,0.90376565276775,0.9380106688753409,189,1890,1890,1.0,0.9520501937111782,0.7413200640755973,0.7413200640755975
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,33749,110,0.9119145282090554,0.948726097206917,189,1890,1890,1.0,0.9523604540991242,0.7535526827410838,0.753552682741084
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,33794,109,0.8745673453687192,0.9106035756085431,188,1880,1880,1.0,0.9573184941497982,0.7162844680011773,0.7162844680011775
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,33849,117,0.8780371123792655,0.9191792128070791,189,1890,1890,1.0,0.9536795643299834,0.7250068755651852,0.7250068755651845
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,36066,101,0.875204123216284,0.9111575203900759,188,1880,1880,1.0,0.9571417663053551,0.7164806884521777,0.7164806884521777
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,36261,135,0.9028714187051143,0.9369384098056388,189,1890,1890,1.0,0.9525970849730175,0.7406768761106552,0.740676876110655
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,36335,106,0.9137162094915328,0.9510317643074271,189,1890,1890,1.0,0.9525526904502074,0.7549753683320627,0.7549753683320628
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,35660,85,0.8776149740687246,0.9189428422843787,189,1890,1890,1.0,0.9541392205046887,0.7251074440914131,0.725107444091413
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,29687,79,0.8679398399546782,0.9069971579836518,188,1880,1880,1.0,0.9515213659821534,0.7134710462681306,0.7134710462681307
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,28806,87,0.8674095057810471,0.9062586986914565,188,1880,1880,1.0,0.9502767901470178,0.713813978253025,0.7138139782530252
