Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2340,95,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2369,92,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2371,94,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2384,91,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,38638,115,0.87472563377484,0.9151746925227225,189,1890,1890,1.0,0.9546501516800354,0.7227254694472163,0.7227254694472163
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,38652,111,0.8645048416142225,0.9036408019728392,188,1880,1880,1.0,0.9515070353428755,0.7110891869770939,0.7110891869770938
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,38680,114,0.8701282191967373,0.9066809790828341,188,1880,1880,1.0,0.9580495977313206,0.7119813261849656,0.7119813261849651
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,38708,104,0.8987533175757426,0.9327952384495382,189,1890,1890,1.0,0.9526949668664777,0.7371853081076559,0.7371853081076554
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2379,106,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,40269,103,0.8796263871206114,0.9201937558135806,189,1890,1890,1.0,0.9535608216001565,0.7254444799285198,0.7254444799285198
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,40343,113,0.8772662075369416,0.9146542266296065,188,1880,1880,1.0,0.9558682224575067,0.7194590338827045,0.7194590338827045
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,40385,98,0.9092649115394426,0.9447922635246915,189,1890,1890,1.0,0.9514168025641678,0.7466825006013619,0.7466825006013618
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,40042,83,0.9078118043828944,0.9441485648542571,189,1890,1890,1.0,0.9545268577414066,0.7500833495375978,0.7500833495375981
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,32870,76,0.8699983535646025,0.909082864789411,188,1880,1880,1.0,0.9512560948401036,0.7166309597155387,0.716630959715538
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,32891,82,0.9143771950445443,0.9515542892379739,189,1890,1890,1.0,0.9509296931357586,0.7533316807985385,0.7533316807985384
