Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,173,1590,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,169,1597,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,178,1598,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,182,1630,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,35437,0.8932774324147187,0.9312759446090242,188,1880,1880,1.0,0.947286499465223,0.7372551679986038,0.737255167998604
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,35559,0.9065381751102646,0.9447832908454465,188,1880,1880,1.0,0.9499815506506517,0.7430236494723138,0.743023649472314
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,35697,0.9223087187308893,0.9548091133911746,189,1890,1890,1.0,0.9465361178344581,0.7610519853774367,0.7610519853774372
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,36287,0.9317003579782571,0.96911504534564,189,1890,1890,1.0,0.949873650754191,0.7640704805314995,0.7640704805315004
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,177,1721,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,35823,0.9281976672587441,0.961876317469065,189,1890,1890,1.0,0.9453881053157768,0.7657062112649173,0.7657062112649177
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,36306,0.91142233185328,0.9492722187430284,188,1880,1880,1.0,0.9477933514356187,0.7509948385502676,0.7509948385502679
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,35925,0.9436343873219556,0.9797819716042142,189,1890,1890,1.0,0.9481783764681511,0.7779062805405119,0.777906280540512
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,35757,0.8977399678873664,0.9362622325695662,188,1880,1880,1.0,0.945072422776282,0.7406080217687853,0.7406080217687848
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,1,28431,0.8836625306542552,0.9246773568397453,189,1890,1890,1.0,0.9531038689323066,0.7293030812027769,0.7293030812027773
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,28165,0.8935186889041687,0.9327086608068078,189,1890,1890,1.0,0.9502977715823445,0.7358680145580421,0.7358680145580424
