Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,161,1639,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,168,1650,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,162,1670,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,169,1684,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,49206,0.8711877181763327,0.9084685509457975,188,1880,1880,1.0,0.9525076667822148,0.7165858496416763,0.7165858496416764
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,49368,0.891868941608987,0.9291534976306784,188,1880,1880,1.0,0.9525190766187334,0.7295537274020836,0.7295537274020837
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,49845,0.9105162107690793,0.9422040836634364,189,1890,1890,1.0,0.9486701344326117,0.7495906555759376,0.7495906555759376
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,50006,0.9171319218947773,0.9536341812463273,189,1890,1890,1.0,0.9522013276477153,0.7526243569132831,0.7526243569132831
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,182,1794,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,36300,0.9052633934725738,0.9425017694595905,188,1880,1880,1.0,0.9491453389209936,0.745234843634357,0.7452348436343571
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,36271,0.9282723124709182,0.9630292567405178,189,1890,1890,1.0,0.9480588592370165,0.7637092782680983,0.763709278268099
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,36415,0.9353013010281626,0.973116528407712,189,1890,1890,1.0,0.9494605261859829,0.7712037938201277,0.7712037938201276
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,35997,0.8776966132079201,0.9181642057049696,189,1890,1890,1.0,0.9537442788807358,0.7240396883442444,0.7240396883442451
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,1,37786,0.8932011312451096,0.9351667288113551,188,1880,1880,1.0,0.9454393821284319,0.7358611177446012,0.7358611177446007
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,37292,0.8991217276870833,0.9384051604100571,189,1890,1890,1.0,0.9520803203148125,0.7393729624182389,0.7393729624182384
