Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,268,2211,0.8869211449023223,0.9257923887861588,188,1880,1880,1.0,0.950424988825455,0.727773207432344,0.7277732074323437
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,269,2211,0.9334714504052718,0.9674709441910561,188,1880,1880,1.0,0.9506448598042513,0.765610542303464,0.7656105423034637
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,268,2227,0.9327283598701703,0.9752355834443406,189,1890,1890,1.0,0.9479730362262242,0.7672894524558728,0.7672894524558725
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,260,2241,0.8984957050067516,0.9440940117881101,189,1890,1890,1.0,0.9527817979436918,0.7343188430449146,0.7343188430449139
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,258,2245,0.9193998864002879,0.9600677741765322,189,1890,1890,1.0,0.9474110620072655,0.7501922634101954,0.7501922634101946
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,72828,0.9209104297163687,0.9560185960309101,188,1880,1880,1.0,0.9524427176542495,0.7550153412083078,0.7550153412083075
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,72894,0.8910265637109822,0.9350424814057786,189,1890,1890,1.0,0.9550678185067372,0.7263505042921774,0.7263505042921773
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,72938,0.9316031107600277,0.9733136997248855,189,1890,1890,1.0,0.9495478915639545,0.7660237697559861,0.7660237697559857
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,1,72996,0.8806341828991917,0.9181884661217705,188,1880,1880,1.0,0.952317834234619,0.7198347573263971,0.7198347573263968
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,73117,0.9218381291205481,0.9617926915024245,189,1890,1890,1.0,0.9473529640913089,0.7497769187809888,0.7497769187809886
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,70438,0.9116688005198341,0.9579134220968432,189,1890,1890,1.0,0.9491362192073243,0.7414188344847565,0.7414188344847569
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,70493,0.8979435378955328,0.9346492975394262,188,1880,1880,1.0,0.9509764512967243,0.7374526368424973,0.7374526368424973
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,70385,0.9310541554618734,0.9711787101786682,189,1890,1890,1.0,0.9419685195513006,0.7633311022831474,0.7633311022831476
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,70734,0.9378134657238599,0.9738684500734253,188,1880,1880,1.0,0.9478661637480535,0.7686346558191178,0.7686346558191176
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,70636,0.9413673311333288,0.983362668207836,189,1890,1890,1.0,0.9437891659969568,0.7743025685013948,0.7743025685013953
