Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,243,2243,0.9327283598701703,0.9752355834443406,189,1890,1890,1.0,0.9479730362262242,0.7672894524558728,0.7672894524558725
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,234,2299,0.9193998864002879,0.9600677741765322,189,1890,1890,1.0,0.9474110620072655,0.7501922634101954,0.7501922634101946
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,246,2309,0.8869211449023223,0.9257923887861588,188,1880,1880,1.0,0.950424988825455,0.727773207432344,0.7277732074323437
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,265,2299,0.9334714504052718,0.9674709441910561,188,1880,1880,1.0,0.9506448598042513,0.765610542303464,0.7656105423034637
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,231,2337,0.8984957050067516,0.9440940117881101,189,1890,1890,1.0,0.9527817979436918,0.7343188430449146,0.7343188430449139
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,1,48718,0.8796952254855656,0.9183842793488828,188,1880,1880,1.0,0.9514437003098932,0.7203481169348617,0.7203481169348626
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,9,48750,0.9154478942165019,0.9563400274898477,189,1890,1890,1.0,0.9476580676819425,0.7457237141077864,0.7457237141077865
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,48815,0.9268547616628857,0.9682332147650261,189,1890,1890,1.0,0.9482220503905723,0.7626383655662492,0.7626383655662493
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,1,48769,0.9240772377163589,0.957956019741093,188,1880,1880,1.0,0.9519081512101027,0.7570536754125586,0.7570536754125589
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,1,48819,0.8927693234710246,0.9384127473869561,189,1890,1890,1.0,0.953687338531944,0.7292285296190557,0.729228529619056
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,52427,0.9055540736776524,0.9506139763831386,189,1890,1890,1.0,0.9512578107387777,0.7394712813554809,0.7394712813554808
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,52484,0.9383590334072595,0.9745672468647048,188,1880,1880,1.0,0.9488509325868181,0.7704616325796905,0.7704616325796908
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,52714,0.9348339814754681,0.9773077098766835,189,1890,1890,1.0,0.9466387319701555,0.7698459339757247,0.7698459339757251
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,52942,0.8893686843338935,0.9259029006452244,188,1880,1880,1.0,0.9498488950397346,0.729591185405474,0.7295911854054736
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,53086,0.9294166943060274,0.9705876079750796,189,1890,1890,1.0,0.9438432726577939,0.7625871165010214,0.7625871165010217
