Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,176,1822,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,173,1847,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,176,1848,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,186,1865,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,216,1801,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,39759,0.8757079229731105,0.9161051464549039,189,1890,1890,1.0,0.9542076549503073,0.7233120881540105,0.72331208815401
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,39827,0.8711629230980616,0.9085475401707028,188,1880,1880,1.0,0.9523870186400869,0.7171972114596409,0.7171972114596405
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,40021,0.9090820131103443,0.940844933646998,189,1890,1890,1.0,0.9494015072848636,0.7485346724677273,0.7485346724677272
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,39598,0.9181285311662133,0.9545234693434951,189,1890,1890,1.0,0.9519321451514728,0.752612543903878,0.752612543903878
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,38482,0.9262825759420494,0.9612170619820852,189,1890,1890,1.0,0.9480515244800606,0.7628543186015245,0.7628543186015254
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,38869,0.8899972811388603,0.9314179476326262,188,1880,1880,1.0,0.9457008694407026,0.7332511713725546,0.7332511713725542
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,39471,0.8949421875969672,0.9341071250416748,189,1890,1890,1.0,0.9525361667933839,0.7366190605770991,0.736619060577099
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,38523,0.9325661029497603,0.9698566999005453,189,1890,1890,1.0,0.9497421527053751,0.7691330967423503,0.7691330967423504
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,1,29923,0.8936423898097976,0.9301595084159487,188,1880,1880,1.0,0.9526718349464508,0.7309441509816462,0.7309441509816468
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,29233,0.9021183167553931,0.939706564424852,188,1880,1880,1.0,0.9503116461769472,0.7428967328588784,0.7428967328588781
