Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_pearson_similarity,ml-100k/u.data,1,1873,8976,0.9228966394058044,0.9218102565144125,189,3800,3800,1.0,0.9545315352499368,0.7549185464066831,0.721285914026021
regular_pearson_similarity,ml-100k/u.data,0,1876,9676,0.8958040131556112,0.9055361183318593,189,4009,4009,1.0,0.9539252143338403,0.736760065547735,0.71529337429992
regular_pearson_similarity,ml-100k/u.data,2,1841,10073,0.9535386513624963,0.9493064798630161,189,4070,4070,1.0,0.9520956393159322,0.7781765073634074,0.7339979015470073
regular_pearson_similarity,ml-100k/u.data,4,1874,10048,0.8718338656420404,0.9077998314394903,188,3896,3896,1.0,0.9570930567882309,0.7132313330026194,0.711845608038651
regular_pearson_similarity,ml-100k/u.data,3,1063,7601,0.88426396451079,0.9094232326044421,188,4225,4225,1.0,0.9569802767058101,0.7254066164696389,0.7077643429276859
diffusion_norm_pearson_similarity,ml-100k/u.data,1,847,32316,0.9186661724261309,0.9151540152607885,189,3800,3800,1.0,0.9546505101618297,0.7529393920429371,0.7158471213436194
diffusion_norm_pearson_similarity,ml-100k/u.data,0,575,32070,0.8927945062011087,0.9019664904682665,189,4009,4009,1.0,0.9535073133563962,0.7314995099818533,0.70966028364205
diffusion_norm_pearson_similarity,ml-100k/u.data,4,699,32246,0.8644168452267368,0.9026135706636144,188,3896,3896,1.0,0.9568591596318708,0.705495063685797,0.7057737054672074
diffusion_norm_pearson_similarity,ml-100k/u.data,3,451,26517,0.8767199229449725,0.897232309923867,188,4225,4225,1.0,0.9566698214566309,0.7169014021055997,0.6982158229408956
diffusion_norm_pearson_similarity,ml-100k/u.data,2,349,10683,0.9410854587552564,0.938832677461094,189,4070,4070,1.0,0.9545077656085453,0.7652769416149509,0.7248240346891157
