Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_pearson_similarity,ml-100k/u.data,0,1804,9554,0.8958040131556112,0.9055361183318593,189,4009,4009,1.0,0.9539252143338403,0.736760065547735,0.71529337429992
regular_pearson_similarity,ml-100k/u.data,2,1805,9577,0.9535386513624963,0.9493064798630161,189,4070,4070,1.0,0.9520956393159322,0.7781765073634074,0.7339979015470073
regular_pearson_similarity,ml-100k/u.data,4,2020,9465,0.8718338656420404,0.9077998314394903,188,3896,3896,1.0,0.9570930567882309,0.7132313330026194,0.711845608038651
regular_pearson_similarity,ml-100k/u.data,3,1805,9878,0.88426396451079,0.9094232326044421,188,4225,4225,1.0,0.9569802767058101,0.7254066164696389,0.7077643429276859
diffusion_norm_pearson_similarity,ml-100k/u.data,0,911,30713,0.8944576884392365,0.9035059464460407,189,4009,4009,1.0,0.9534166810534038,0.7320746938355456,0.7101769902006497
diffusion_norm_pearson_similarity,ml-100k/u.data,4,740,32183,0.865898053577561,0.9039898367313636,188,3896,3896,1.0,0.9562823381980622,0.7058052729907369,0.7062904295867767
diffusion_norm_pearson_similarity,ml-100k/u.data,2,900,32295,0.9406341878029953,0.9383482707050929,189,4070,4070,1.0,0.9552739240145643,0.7648465533527494,0.7252600681422962
diffusion_norm_pearson_similarity,ml-100k/u.data,3,987,31960,0.8780243010047302,0.8979316502777668,188,4225,4225,1.0,0.9566041682314589,0.7181335455339677,0.6988206779773919
regular_pearson_similarity,ml-100k/u.data,1,901,2728,0.9228966394058044,0.9218102565144125,189,3800,3800,1.0,0.9545315352499368,0.7549185464066831,0.721285914026021
diffusion_norm_pearson_similarity,ml-100k/u.data,1,155,8293,0.9197108438239049,0.9160978234185839,189,3800,3800,1.0,0.9541168780349042,0.7538750828386903,0.716690850663883
