Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity,ml-100k/u.data,1,479,2253,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_norm_algo_trainonpartitions,ml-100k/u.data,1,262,8588,0.9098355187383699,0.9102128754906834,189,4215,4215,1.0,0.9543744107707097,0.7403020575792926,0.7043994872118678
regular_cosine_similarity,ml-100k/u.data,0,203,1699,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,4,187,1714,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,2,175,1666,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_algo_trainonpartitions,ml-100k/u.data,2,219,8090,0.9471172301390994,0.9425496064175367,189,4071,4071,1.0,0.9497419183987812,0.7739708947609231,0.7410977031275806
regular_cosine_similarity,ml-100k/u.data,3,178,1661,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_algo_trainonpartitions,ml-100k/u.data,3,359,7880,0.8844782933951751,0.887923547283266,188,3586,3586,1.0,0.957776647744175,0.7201009727525316,0.6928548084169451
diffusion_norm_algo_trainonpartitions,ml-100k/u.data,0,230,8299,0.9075161548838193,0.9029145750046161,189,4027,4027,1.0,0.9551003189174478,0.7388166989254512,0.700843082374431
diffusion_norm_algo_trainonpartitions,ml-100k/u.data,4,236,8062,0.9263323304084832,0.9232614414198248,188,4101,4101,1.0,0.9546668682942029,0.7570566650886313,0.7232139345769388
