Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml-100k/u.data,0,433,8879,0.901108288,0.926006657
regular,ml-100k/u.data,0,3,1814,0.901699272,0.926767236
diffusion_norm,ml-100k/u.data,0,1,8029,0.901476818,0.926481388
diffusion,ml-100k/u.data,1,176,8131,0.933182399,0.955673323
regular,ml-100k/u.data,1,2,1830,0.933090461,0.95578175
diffusion_norm,ml-100k/u.data,1,1,8052,0.933193445,0.955678899
diffusion,ml-100k/u.data,2,169,8351,0.913062093,0.909712973
regular,ml-100k/u.data,2,3,1981,0.912763567,0.90946409
diffusion_norm,ml-100k/u.data,2,1,8806,0.913071499,0.909703292
diffusion,ml-100k/u.data,3,201,7893,0.901697671,0.895855932
diffusion_norm,ml-100k/u.data,3,1,8072,0.901876421,0.895883371
regular,ml-100k/u.data,3,2,1894,0.90207502,0.896374798
diffusion,ml-100k/u.data,4,181,8036,0.932089729,0.933814315
regular,ml-100k/u.data,4,2,1806,0.931641699,0.933625319
diffusion_norm,ml-100k/u.data,4,1,8094,0.931612222,0.933592782
