Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml-100k/u.data,0,568,11500,0.973694968,1.000868263
diffusion_norm,ml-100k/u.data,0,1,8856,0.973073163,1.000188153
regular,ml-100k/u.data,0,2,4012,0.972976514,1.000062331
diffusion,ml-100k/u.data,1,180,8654,1.011167756,1.040407995
diffusion_norm,ml-100k/u.data,1,1,8383,1.010984689,1.040189453
regular,ml-100k/u.data,1,2,3736,1.010717512,1.040057014
diffusion,ml-100k/u.data,2,207,9039,1.004274867,1.005486749
diffusion_norm,ml-100k/u.data,2,1,9035,1.004197824,1.005437334
regular,ml-100k/u.data,2,2,4178,1.004469061,1.005699074
diffusion,ml-100k/u.data,3,258,8841,0.965802292,0.976134272
diffusion_norm,ml-100k/u.data,3,1,8628,0.965381713,0.975984589
regular,ml-100k/u.data,3,2,3905,0.965428853,0.975703559
diffusion,ml-100k/u.data,4,207,8535,0.985563687,1.004319071
diffusion_norm,ml-100k/u.data,4,1,8677,0.986330632,1.004609443
regular,ml-100k/u.data,4,2,3982,0.986421906,1.004700292
