Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml-100k/u.data,0,185,9429,0.972702866,0.999957749
diffusion_norm,ml-100k/u.data,0,1,12048,0.97292546,0.999998164
regular,ml-100k/u.data,0,2,4322,0.972976514,1.000062331
diffusion,ml-100k/u.data,1,211,8212,1.010996604,1.040203698
regular,ml-100k/u.data,1,3,3941,1.010717512,1.040057014
diffusion_norm,ml-100k/u.data,1,1,8928,1.01099352,1.040265693
diffusion,ml-100k/u.data,2,436,9951,1.00465289,1.005814198
regular,ml-100k/u.data,2,2,4755,1.004469061,1.005699074
diffusion_norm,ml-100k/u.data,2,1,9930,1.006258469,1.00661556
diffusion,ml-100k/u.data,3,174,8497,0.965361049,0.975789045
diffusion_norm,ml-100k/u.data,3,1,8559,0.965549304,0.975869666
regular,ml-100k/u.data,3,2,3927,0.965428853,0.975703559
diffusion,ml-100k/u.data,4,177,8184,0.986520202,1.00478104
diffusion_norm,ml-100k/u.data,4,2,10475,0.986504141,1.004738662
regular,ml-100k/u.data,4,4,5437,0.986421906,1.004700292
