Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml10M_reduced/ml10M_top500.dat,0,175,4372,0.89386565,0.899668158
diffusion_norm,ml10M_reduced/ml10M_top500.dat,0,1,4341,0.89386507,0.899650267
regular,ml10M_reduced/ml10M_top500.dat,0,3,4208,0.893828637,0.899597355
diffusion,ml10M_reduced/ml10M_top500.dat,1,204,4575,0.888696207,0.931253512
diffusion_norm,ml10M_reduced/ml10M_top500.dat,1,1,4476,0.888700278,0.931281395
regular,ml10M_reduced/ml10M_top500.dat,1,2,4323,0.889504012,0.931335917
diffusion,ml10M_reduced/ml10M_top500.dat,2,166,4468,0.9091366,0.921959284
diffusion_norm,ml10M_reduced/ml10M_top500.dat,2,1,4371,0.909116952,0.921931756
regular,ml10M_reduced/ml10M_top500.dat,2,2,4271,0.909167845,0.921982721
diffusion,ml10M_reduced/ml10M_top500.dat,3,172,4332,0.893418391,0.946461553
regular,ml10M_reduced/ml10M_top500.dat,3,2,4165,0.89346154,0.946453937
diffusion_norm,ml10M_reduced/ml10M_top500.dat,3,1,4334,0.893435278,0.946447901
diffusion,ml10M_reduced/ml10M_top500.dat,4,511,5432,0.856780558,0.891993594
diffusion_norm,ml10M_reduced/ml10M_top500.dat,4,1,4612,0.856823468,0.892014305
regular,ml10M_reduced/ml10M_top500.dat,4,2,4345,0.856805354,0.89202869
