Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,,,
diffusion,ml10M_reduced/ml10M_top500.dat,0,213,4684,0.893757034,0.900726103,,,
diffusion_norm,ml10M_reduced/ml10M_top500.dat,0,1,4686,0.894930077,0.90126391,,,
regular,ml10M_reduced/ml10M_top500.dat,0,2,4539,0.893828637,0.899597355,,,
diffusion,ml10M_reduced/ml10M_top500.dat,1,171,4702,0.88904811,0.932573907,,,
regular,ml10M_reduced/ml10M_top500.dat,1,2,4756,0.889504012,0.931335917,,,
diffusion_norm,ml10M_reduced/ml10M_top500.dat,1,1,4648,0.890094303,0.932554585,,,
diffusion,ml10M_reduced/ml10M_top500.dat,2,505,5507,0.912197685,0.924289075,,,
regular,ml10M_reduced/ml10M_top500.dat,2,3,4654,0.909167845,0.921982721,,,
diffusion_norm,ml10M_reduced/ml10M_top500.dat,2,1,4576,0.9104333,0.923731466,,,
diffusion,ml10M_reduced/ml10M_top500.dat,3,173,4416,0.897307854,0.949432361,,,
diffusion_norm,ml10M_reduced/ml10M_top500.dat,3,1,4404,0.896319499,0.949030172,,,
regular,ml10M_reduced/ml10M_top500.dat,3,2,4544,0.89346154,0.946453937,,,
diffusion,ml10M_reduced/ml10M_top500.dat,4,171,4761,0.856631869,0.892393521,,,
diffusion_norm,ml10M_reduced/ml10M_top500.dat,4,1,4783,0.858197288,0.893492676,,,
regular,ml10M_reduced/ml10M_top500.dat,4,1,4839,0.856805354,0.89202869,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Œ
