Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,675,9051,0.961543453096034,0.9635258183824568,189,4071,4071,1.0,0.9461832009833033,0.7869159607635753,0.7600328692223763
diffusion_cosine_similarity,ml-100k/u.data,0,333,7918,0.9214178871344736,0.9176294351715444,189,4027,4027,1.0,0.951849114430222,0.7525861028927782,0.7148266570215422
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7954,0.945520552605723,0.946525246760753,189,4027,4027,1.0,0.9479634545594614,0.774970578390957,0.7397598465052755
regular_cosine_similarity,ml-100k/u.data,2,3,1789,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,284,7703,0.9039821864626633,0.9093051114152657,188,3586,3586,1.0,0.9526188919260852,0.7364896781570051,0.7100106686665506
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7568,0.9270211648858547,0.9252233650730951,188,3586,3586,1.0,0.9517374208429527,0.7601589899161103,0.7296761534803355
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7873,0.9847544671280539,0.9813603149133489,189,4071,4071,1.0,0.9408829698758965,0.8083858587769442,0.778874308375842
diffusion_cosine_similarity,ml-100k/u.data,4,214,7960,0.9378428353439533,0.940878067443439,188,4101,4101,1.0,0.9525942500568496,0.7674068996553943,0.7360167613605566
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8024,0.9669553565418466,0.9660368602691125,188,4101,4101,1.0,0.9466023615457706,0.7907035917457543,0.7582150933679307
diffusion_cosine_similarity,ml-100k/u.data,1,168,7972,0.9290013456982035,0.9286075432008061,189,4215,4215,1.0,0.9512108222431024,0.7559435341240438,0.7201984486374624
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7925,0.938637750480227,0.9456707125633906,189,4215,4215,1.0,0.9492723874645338,0.7717473245331403,0.7386694575557936
regular_cosine_similarity,ml-100k/u.data,1,3,1728,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,2,1625,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,0,3,1605,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1533,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
