Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,669,8934,0.9170394557092347,0.909173935549605,189,4027,4027,1.0,0.9536265601334385,0.746451423495541,0.7064561055013328
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7661,0.910649353862808,0.9056715394743606,189,4027,4027,1.0,0.9550447557261735,0.7412990478854716,0.7033229731743947
diffusion_cosine_similarity,ml-100k/u.data,1,310,8001,0.9106351660029227,0.908572859693739,189,4215,4215,1.0,0.9573122692779561,0.7393510702035911,0.7040860935066807
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7916,0.9111569274225547,0.9115573205626404,189,4215,4215,1.0,0.9523700356317691,0.7403161969082177,0.7046186067824666
diffusion_cosine_similarity,ml-100k/u.data,2,206,7685,0.946437178722663,0.9502303967469361,189,4071,4071,1.0,0.9518319739612857,0.7756809113192854,0.7482344499580709
regular_cosine_similarity,ml-100k/u.data,2,3,1666,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,199,7653,0.8887539683718415,0.892762403364711,188,3586,3586,1.0,0.9555119533063033,0.7264980699447408,0.699253133625238
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7554,0.8885263145501415,0.8900775680052301,188,3586,3586,1.0,0.9572116878468109,0.7240422804384318,0.6955309108464611
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7790,0.9491362633411904,0.9454718653470738,189,4071,4071,1.0,0.9489809594130777,0.7753804071474129,0.7435199421791635
diffusion_cosine_similarity,ml-100k/u.data,4,186,7694,0.9316277091245393,0.92746246929567,188,4101,4101,1.0,0.9538632635495011,0.7610317425355344,0.7255678128021229
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7746,0.9267335656667371,0.9241948821019337,188,4101,4101,1.0,0.9541006120420411,0.7582983380001267,0.7247066883119121
regular_cosine_similarity,ml-100k/u.data,1,3,1722,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,2,1635,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,0,3,1612,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1537,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
