Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,734,8912,0.9244006484284661,0.9167726835810278,189,4027,4027,1.0,0.9518621201433968,0.7530692800547092,0.7133084685414075
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7881,0.9063008283842143,0.9031584819179874,189,4027,4027,1.0,0.9557800099906077,0.7387139552811136,0.6992464718928851
diffusion_cosine_similarity,ml-100k/u.data,1,353,8070,0.9262220026827275,0.9209396004652481,189,4215,4215,1.0,0.9523389866799834,0.7555827722023886,0.7163203786016138
regular_cosine_similarity,ml-100k/u.data,1,3,1775,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_cosine_similarity,ml-100k/u.data,3,242,7636,0.8977434931651909,0.9054877256411351,188,3586,3586,1.0,0.9536453091891357,0.7312074453256567,0.7073217254466709
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7414,0.8818927549089964,0.8875873422713664,188,3586,3586,1.0,0.9577115045355447,0.718697101234221,0.6926574347900861
diffusion_cosine_similarity,ml-100k/u.data,4,214,7893,0.9407198474175036,0.9401712674616207,188,4101,4101,1.0,0.9514172248677583,0.7698801340466677,0.7356096730421424
diffusion_cosine_similarity,ml-100k/u.data,2,179,7845,0.9484212525434388,0.9580581933216088,189,4071,4071,1.0,0.9497415825574457,0.7769111347444584,0.7545519684115304
regular_cosine_similarity,ml-100k/u.data,2,2,1682,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7833,0.9094640594137505,0.9077894508124233,189,4215,4215,1.0,0.9551635244358594,0.7400691310436744,0.7037328698377591
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7731,0.9273956169331837,0.9248091028870205,188,4101,4101,1.0,0.9541197942704079,0.7576943567341275,0.7237904676462494
regular_cosine_similarity,ml-100k/u.data,4,3,1772,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,3,2,1598,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
regular_cosine_similarity,ml-100k/u.data,0,3,1672,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7679,0.9425154523381468,0.9413201932579455,189,4071,4071,1.0,0.9509275490069774,0.7708888918074991,0.7412937506281135
