Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,683,9340,0.9675873957669745,0.973338416848284,189,4071,4071,1.0,0.942874945354111,0.7926187554196991,0.7678212061294662
diffusion_cosine_similarity,ml-100k/u.data,0,341,7958,0.9264303314870506,0.9276440392024297,189,4027,4027,1.0,0.9499866343395752,0.7572668170974793,0.7254933917993642
diffusion_norm_cosine_similarity,ml-100k/u.data,0,2,8010,0.9466886640638645,0.9461195553785721,189,4027,4027,1.0,0.9478873733868768,0.7765165301309821,0.7378145430547384
diffusion_cosine_similarity,ml-100k/u.data,4,229,7944,0.9453229277401656,0.9522902291854155,188,4101,4101,1.0,0.9519512381468633,0.7727150789116455,0.7457036855819499
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7965,0.9616020030673933,0.9659352292861864,188,4101,4101,1.0,0.9488982341831103,0.787341939463816,0.7603851054782874
regular_cosine_similarity,ml-100k/u.data,2,5,1696,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7784,0.9756348366689579,0.9788323393935537,189,4071,4071,1.0,0.9466211886259603,0.7967487253165507,0.7737532505894172
regular_cosine_similarity,ml-100k/u.data,4,2,1647,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_cosine_similarity,ml-100k/u.data,1,172,8886,0.9246670215390396,0.926804009590766,189,4215,4215,1.0,0.9514671876710793,0.7506051313607904,0.7198706122652213
diffusion_cosine_similarity,ml-100k/u.data,3,182,7635,0.888723953647193,0.9048366960010901,188,3586,3586,1.0,0.9548691809018324,0.725452500734309,0.7115099541742478
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7484,0.920095848707628,0.9250961326177288,188,3586,3586,1.0,0.9512675512066391,0.7553325481219899,0.7288542597639234
diffusion_norm_cosine_similarity,ml-100k/u.data,1,2,7985,0.9474901713243791,0.9515598863686643,189,4215,4215,1.0,0.9476674852878587,0.7767023046708431,0.7436083539538029
regular_cosine_similarity,ml-100k/u.data,1,2,1643,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,0,3,1605,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1541,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
