Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,744,9150,0.9137839841368652,0.9090521094134344,189,4027,4027,1.0,0.9538112273456185,0.7458649682753122,0.7084243039737271
diffusion_norm_cosine_similarity,ml-100k/u.data,0,2,8488,0.9070305783048862,0.9018691030815599,189,4027,4027,1.0,0.9553795820370639,0.7389631543445541,0.7004482220956175
diffusion_cosine_similarity,ml-100k/u.data,1,333,8143,0.914260641905894,0.9145964464578085,189,4215,4215,1.0,0.9521541911566866,0.7436139198357086,0.7088164529005229
diffusion_cosine_similarity,ml-100k/u.data,2,221,7899,0.9526827654661919,0.9533417655934346,189,4071,4071,1.0,0.9475868620373444,0.7809331319367924,0.7504809835441852
regular_cosine_similarity,ml-100k/u.data,2,3,1659,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,4,195,7751,0.9320150121033615,0.9307190068598816,188,4101,4101,1.0,0.9543908068470832,0.7603185215876532,0.7283677312242298
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7816,0.9462325837420787,0.9432273929504332,189,4071,4071,1.0,0.9490927457554831,0.773179869669895,0.7413521172344034
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7718,0.9242281084159265,0.9221335848133982,188,4101,4101,1.0,0.954604972797406,0.7553990491054844,0.7223637462335738
diffusion_cosine_similarity,ml-100k/u.data,3,182,7815,0.8901213097010608,0.8965066708948405,188,3586,3586,1.0,0.9562818263979661,0.7277399060010703,0.7036548736554772
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7902,0.910456445646756,0.9101094120754895,189,4215,4215,1.0,0.9537738020817239,0.7394151262173964,0.7042333464273891
regular_cosine_similarity,ml-100k/u.data,4,2,1638,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,1,3,1741,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,0,2,1628,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8391,0.8838481810481599,0.8882942288850499,188,3586,3586,1.0,0.9582549428595989,0.7187049950833195,0.6929363090326404
regular_cosine_similarity,ml-100k/u.data,3,2,1549,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
