Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,4,452,9143,0.9399707164273076,0.9406642892350404,188,4101,4101,1.0,0.9536753388444191,0.7683427326496942,0.7372918604678832
regular_cosine_similarity,ml-100k/u.data,4,3,1697,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_cosine_similarity,ml-100k/u.data,0,206,8345,0.9233723389800879,0.9201750884500929,189,4027,4027,1.0,0.9516366044911421,0.7536700217709238,0.7182553966881157
regular_cosine_similarity,ml-100k/u.data,0,2,1681,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_cosine_similarity,ml-100k/u.data,1,171,8317,0.9239303467453055,0.9242400427654858,189,4215,4215,1.0,0.9507614278064266,0.7524332683268578,0.7179719480145506
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8640,0.9147847137745309,0.9146343556241817,189,4215,4215,1.0,0.9534184104173328,0.7432164909936052,0.710786807209463
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8224,0.9275973630203265,0.9290525724171818,188,4101,4101,1.0,0.9540387798241946,0.7547974098251984,0.7259976933926015
diffusion_cosine_similarity,ml-100k/u.data,2,163,8593,0.9555922266252372,0.9628770340702746,189,4071,4071,1.0,0.9456060537407144,0.7834406918695055,0.7605447572235309
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8567,0.9472655581484508,0.9490006244274903,189,4071,4071,1.0,0.9507501169402227,0.7732928915192597,0.7472338656217113
regular_cosine_similarity,ml-100k/u.data,2,2,1666,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,179,7899,0.8935508470081556,0.9043338467394397,188,3586,3586,1.0,0.9554915358144552,0.7306728544047654,0.7102031828478325
regular_cosine_similarity,ml-100k/u.data,3,2,1634,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8164,0.8870700700204776,0.8974865589861587,188,3586,3586,1.0,0.9570837374046192,0.7239017206233112,0.7009833704915047
regular_cosine_similarity,ml-100k/u.data,1,2,1727,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8163,0.9137459555102072,0.9078336797629603,189,4027,4027,1.0,0.9544096284371315,0.7442994384163992,0.7047525723360796
