Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,3,533,9258,0.8894683199744002,0.8918895510272474,188,3586,3586,1.0,0.9555757384844837,0.7256512765018408,0.6977357176697289
regular_cosine_similarity,ml-100k/u.data,3,4,1638,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_cosine_similarity,ml-100k/u.data,2,209,8402,0.9488542070539361,0.9491508369491792,189,4071,4071,1.0,0.9510054245549876,0.7778372966133228,0.7476408875367604
diffusion_cosine_similarity,ml-100k/u.data,1,171,8614,0.9090756808353547,0.9091302055303394,189,4215,4215,1.0,0.9563399812032062,0.7381526428999357,0.7033227572571296
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8547,0.912195229274795,0.9136696450903203,189,4215,4215,1.0,0.95241156871,0.7412923999245501,0.7064603899103482
diffusion_cosine_similarity,ml-100k/u.data,4,184,8536,0.9291853695524569,0.9267282445721085,188,4101,4101,1.0,0.9535910865451163,0.7592783353898132,0.7250621459692433
diffusion_cosine_similarity,ml-100k/u.data,0,167,8508,0.9136154573183068,0.9075989036578658,189,4027,4027,1.0,0.9551504255949573,0.7438884273944378,0.7050375925835033
regular_cosine_similarity,ml-100k/u.data,0,2,1720,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,8305,0.8891102519190781,0.8905474808460457,188,3586,3586,1.0,0.956598191135178,0.7249904494470514,0.6961765219458304
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8752,0.9119056170225096,0.9075267871910954,189,4027,4027,1.0,0.9548436543901498,0.7420320385809418,0.7047638903508842
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8306,0.9509354138649513,0.9472469676111176,189,4071,4071,1.0,0.9486426301126415,0.7771004360715305,0.745191320071155
regular_cosine_similarity,ml-100k/u.data,2,2,1714,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,4,2,8303,0.9282936897812138,0.9257636396645849,188,4101,4101,1.0,0.9532052896803933,0.7594847423738917,0.7255478685327865
regular_cosine_similarity,ml-100k/u.data,1,2,1703,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,2,1630,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
