alpha_nL,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.13444991,0.919382362,0.079681467,0.918559577,0.11420606,0.750145704,0.036764024,0.71746196,0.474845204,0.916248614,0.449873664,0.91515643,0.537055921,0.746970087,0.520728442,0.713988422,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
1,0.005147866,0.920572743,-0.16872953,0.9208432,-0.091969485,0.75169409,-0.309734512,0.719948869,0.680080229,0.914359179,0.670661522,0.913126744,0.781748354,0.745132439,0.760607476,0.712266748,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
2,-0.197033771,0.922434068,-0.449457948,0.923423914,-0.373516249,0.753808515,-0.717064821,0.722872384,0.899272914,0.912341247,0.861996493,0.911367817,1.014541205,0.743384157,0.962910489,0.710814767,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
3,-0.306504005,0.923441873,-0.660147252,0.925360764,-0.509501775,0.754829771,-0.979517373,0.724756074,1.004620592,0.911371396,0.893656254,0.911076771,1.147402102,0.742386367,1.020351965,0.710402495,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
4,-0.365189944,0.923982147,-0.780544723,0.926467568,-0.583520816,0.755385657,-1.143466301,0.725932777,1.020649309,0.911223832,0.848607874,0.911490898,1.154362933,0.742334091,0.977846411,0.710707568,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
5,-0.438312091,0.924655324,-0.903237848,0.927595477,-0.67694449,0.756087272,-1.28281136,0.726932893,0.973964708,0.91165362,0.769953496,0.912213961,1.119573326,0.742595362,0.918788682,0.711131441,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
6,-0.452395332,0.924784977,-0.974248588,0.928248273,-0.667514962,0.756016456,-1.337542142,0.72732571,0.958984456,0.911791531,0.72262764,0.912649024,1.094145521,0.742786326,0.857462133,0.711571597,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
7,-0.477045677,0.925011914,-1.039598467,0.928849029,-0.712148365,0.756351654,-1.401123591,0.72778205,0.88012267,0.912517548,0.651381535,0.913303984,1.001919181,0.743478948,0.765674894,0.712230378,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
8,-0.38105748,0.924128227,-1.034228001,0.928799659,-0.643840203,0.755838657,-1.413739929,0.727872601,0.853354497,0.912763982,0.578267499,0.913976115,0.972815041,0.743697522,0.667186628,0.712937254,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
9,-0.391868371,0.924227754,-1.074224817,0.929167346,-0.649830683,0.755883646,-1.458892406,0.728196672,0.804167353,0.913216808,0.519326544,0.914517955,0.903916801,0.74421495,0.592757239,0.713471453,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
10,-0.380538213,0.924123446,-1.100715243,0.929410871,-0.653288779,0.755909616,-1.475818886,0.728318158,0.745780944,0.913754325,0.416925364,0.915459321,0.843211948,0.744670845,0.476836724,0.714303444,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
100,-0.903401442,0.928937031,-1.747389158,0.935355693,-1.054212692,0.758920569,-2.126983151,0.732991732,-2.560556059,0.94419313,-3.18362891,0.948558931,-2.822493456,0.772200417,-3.640259335,0.743852906,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
1000,-1.078207037,0.930546326,-1.924371575,0.936982678,-1.162213272,0.759731657,-2.278578386,0.73407977,-3.224149536,0.950302305,-3.722053809,0.953508629,-3.665098472,0.77852841,-4.34111147,0.748883103,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
10000000000,-1.108362637,0.930823945,-1.944764665,0.93717015,-1.175514012,0.759831546,-2.28230467,0.734106514,-3.338359313,0.951353743,-3.810458042,0.954321322,-3.827271961,0.779746338,-4.641336091,0.751037892,0,0.920620135,0,0.919292083,0,0.751003396,0,0.717725824
