Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,1,425,8564,0.94193740639211,0.9426605126166238,189,4215,4215,1.0,0.9487681443330166,0.7698295994987242,0.7330407568226616
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7842,0.9395620767361709,0.9474326957532511,189,4215,4215,1.0,0.9480254805086817,0.7694411677794313,0.7404493234457294
diffusion_cosine_similarity,ml-100k/u.data,4,196,7814,0.9557664152758157,0.9594363980299593,188,4101,4101,1.0,0.9488466251848288,0.7817007162415517,0.7500822784377592
regular_cosine_similarity,ml-100k/u.data,4,3,1588,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_cosine_similarity,ml-100k/u.data,0,161,7786,0.9322454860610411,0.9338903884263,189,4027,4027,1.0,0.9510529154465412,0.7595353946996785,0.7273279036691137
regular_cosine_similarity,ml-100k/u.data,0,2,1541,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_cosine_similarity,ml-100k/u.data,3,162,7490,0.9159264864332212,0.922847134562178,188,3586,3586,1.0,0.9510769595304527,0.7453763384343207,0.7220125740451748
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7535,0.9242881534360211,0.9255332136191359,188,3586,3586,1.0,0.9498551726664154,0.7561560777543743,0.7286574362445818
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7873,0.9703248624343556,0.9653451504915008,188,4101,4101,1.0,0.9465845711728059,0.7966019224462252,0.7594187991673013
regular_cosine_similarity,ml-100k/u.data,3,2,1513,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7717,0.9412891657260269,0.946012181131749,189,4027,4027,1.0,0.9501540408370174,0.7715097356312975,0.7380702004192173
diffusion_cosine_similarity,ml-100k/u.data,2,157,7730,0.9763302141316624,0.9814091891753078,189,4071,4071,1.0,0.943056917975403,0.7938610521169027,0.772446705746926
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7860,0.9777526134812727,0.9781438913090684,189,4071,4071,1.0,0.9423095367187712,0.8030008281686601,0.7753504905023356
regular_cosine_similarity,ml-100k/u.data,2,2,1641,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
regular_cosine_similarity,ml-100k/u.data,1,2,1674,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
