Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,2,437,8758,1.0247989494735097,1.0296635002377466,189,4071,4071,1.0,0.930494714359085,0.8456331877558215,0.8190526905140997
regular_distance_similarity,ml-100k/u.data,2,2,3516,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_distance_similarity,ml-100k/u.data,3,199,7735,0.9674470068483315,0.9691692350190751,188,3586,3586,1.0,0.9422144894782165,0.8007916276326221,0.774520171938457
regular_distance_similarity,ml-100k/u.data,3,1,3327,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_distance_similarity,ml-100k/u.data,4,175,8006,1.0050656584316804,1.0247905654775467,188,4101,4101,1.0,0.9397231578600749,0.8274483378355179,0.8146275420306304
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8010,1.010353714937332,1.0282279845528615,188,4101,4101,1.0,0.9371454993193745,0.8297437903590665,0.8166216198761037
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,7920,1.021695445523089,1.0312619188565273,189,4071,4071,1.0,0.9326657954065112,0.8426294995988762,0.819081379497294
diffusion_distance_similarity,ml-100k/u.data,0,151,7970,0.987417731301626,0.9940929820062955,189,4027,4027,1.0,0.9389474295628955,0.8075454434522691,0.7835247528085271
regular_distance_similarity,ml-100k/u.data,0,1,3473,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,1,156,8108,0.9888419770351815,1.0003944832059717,189,4215,4215,1.0,0.9385660345162902,0.815745525525351,0.787679486487495
regular_distance_similarity,ml-100k/u.data,1,2,3590,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,7936,0.9921309114023181,0.9952837732459444,189,4027,4027,1.0,0.939190624769412,0.8130429610214684,0.7846978103631829
regular_distance_similarity,ml-100k/u.data,4,1,3608,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8053,0.9910867843569979,1.003030359229031,189,4215,4215,1.0,0.9377934812083144,0.8172629308374795,0.7907862460131685
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7738,0.968414797426619,0.9716346603080624,188,3586,3586,1.0,0.9418861259629003,0.8035379672569579,0.7774420995920226
