Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,0,408,8898,0.9859570588524121,0.9788494070322002,189,4027,4027,1.0,0.9421617656053195,0.8075727537443216,0.7694011652479656
regular_distance_similarity,ml-100k/u.data,0,2,3661,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,2,186,8171,1.016400128950148,1.017475040694811,189,4071,4071,1.0,0.9334350969224574,0.8382649191016274,0.8070599083165605
regular_distance_similarity,ml-100k/u.data,2,2,3652,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_distance_similarity,ml-100k/u.data,4,172,8203,0.9973580473351433,1.0075469230955476,188,4101,4101,1.0,0.9402184536689885,0.818461506665249,0.7998973786074631
diffusion_distance_similarity,ml-100k/u.data,3,167,7826,0.9548361033102569,0.955736615900236,188,3586,3586,1.0,0.9452241113225757,0.7912374635795508,0.7622778831824522
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8200,0.9424417477197563,0.9470529643249656,189,4027,4027,1.0,0.9497988818104507,0.7723694928266243,0.7390632206113493
regular_distance_similarity,ml-100k/u.data,3,2,3398,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_distance_similarity,ml-100k/u.data,1,151,8257,0.9711491287172717,0.9832538239932043,189,4215,4215,1.0,0.9420260278301008,0.7963610963425373,0.7719883204474917
regular_distance_similarity,ml-100k/u.data,1,2,3732,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8053,0.9251503978021978,0.9268860186145953,188,3586,3586,1.0,0.9495037854070668,0.7572291762151125,0.7302301138759261
regular_distance_similarity,ml-100k/u.data,4,2,3696,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8227,0.9398327344900013,0.9485577210896572,189,4215,4215,1.0,0.9480182691478004,0.7693571402725201,0.7408877274743445
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8203,0.9779918215305232,0.9785328529125707,189,4071,4071,1.0,0.9426556719326508,0.802837329538364,0.7756637200963878
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8138,0.9707744802476792,0.9651430825110202,188,4101,4101,1.0,0.9460906791883403,0.7961001792947671,0.7591488579633492
