Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,0,415,8818,0.987252596818002,0.9917595744355497,189,4027,4027,1.0,0.9399801122290724,0.8097036700928489,0.7822802887931514
diffusion_distance_similarity,ml-100k/u.data,3,197,7852,0.9655811398455448,0.9692687695757598,188,3586,3586,1.0,0.9425949693442666,0.7988576485940091,0.7747565638728107
regular_distance_similarity,ml-100k/u.data,3,2,3430,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_distance_similarity,ml-100k/u.data,2,165,8130,1.026829914322091,1.0329974742017352,189,4071,4071,1.0,0.9288713528398886,0.8462306175500847,0.8198645425925475
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8066,1.0246578804584943,1.0336361409577097,189,4071,4071,1.0,0.9307137827026383,0.8447469948870725,0.821299205736726
diffusion_distance_similarity,ml-100k/u.data,4,169,8097,1.007259933110799,1.024179043520181,188,4101,4101,1.0,0.938979170216705,0.8281697654224094,0.8140682698867853
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8164,1.0132052522623942,1.030407961118382,188,4101,4101,1.0,0.9357910205806711,0.8324859281526724,0.8187614952892703
regular_distance_similarity,ml-100k/u.data,2,1,3650,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_distance_similarity,ml-100k/u.data,1,157,8313,0.9870318956163299,0.9994646008096194,189,4215,4215,1.0,0.939235405597267,0.813118719683414,0.786862166560334
regular_distance_similarity,ml-100k/u.data,1,1,3740,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
regular_distance_similarity,ml-100k/u.data,0,2,3628,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8062,0.9957589814794081,0.9989516836427856,189,4027,4027,1.0,0.9387089330232491,0.8160528500735474,0.788074372615527
regular_distance_similarity,ml-100k/u.data,4,2,3703,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8375,0.9931851074465398,1.0052120388481436,189,4215,4215,1.0,0.9373947510625517,0.8188416807966301,0.7928283702795387
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7870,0.9730990220996101,0.9745787235319459,188,3586,3586,1.0,0.9413037154650753,0.8069454253325379,0.7800359486300438
