Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,697,9182,0.9306169971682104,0.9417248371680199,189,3994,3994,1.0,0.9535069633520686,0.7586481790349132,0.7387039504497938
diffusion_cosine_similarity,ml-100k/u.data,0,316,8085,0.9412300616381951,0.9571186222777341,189,4489,4489,1.0,0.950965207293154,0.7645207974295679,0.7506796549778187
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8189,0.9263814869947553,0.9474830652069423,189,4489,4489,1.0,0.951797410140289,0.7492758159757533,0.7406387161852633
regular_cosine_similarity,ml-100k/u.data,2,3,1710,0.9283718775989497,0.9382653330185203,189,3994,3994,1.0,0.9549568874083018,0.7528698696909337,0.7307352271395736
diffusion_cosine_similarity,ml-100k/u.data,3,279,7823,0.9260063013671878,0.9510149919957803,188,3795,3795,1.0,0.9466922146055214,0.7587520389575405,0.7367323045911301
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7710,0.909978628247073,0.9409737038272371,188,3795,3795,1.0,0.9505117850241671,0.7440980810460698,0.7273613543574446
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,8011,0.9234434602526842,0.9334448546929914,189,3994,3994,1.0,0.9548068288233414,0.7520393140604021,0.7309334287972846
diffusion_cosine_similarity,ml-100k/u.data,4,198,7751,0.9270058573950943,0.9195590209857046,188,3854,3854,1.0,0.9530103539038542,0.755917752540481,0.7174061308126105
diffusion_cosine_similarity,ml-100k/u.data,1,168,7774,0.9198774160662185,0.9018026567905206,189,3868,3868,1.0,0.9496342660133991,0.7556303996115659,0.7080901270112232
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7776,0.9005356647744924,0.8966395457987497,188,3854,3854,1.0,0.95858839496665,0.7306358608551499,0.6967602368692147
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7697,0.9068152878848385,0.8914901548608326,189,3868,3868,1.0,0.9544673316123525,0.7432664702001007,0.6977083861750176
regular_cosine_similarity,ml-100k/u.data,1,3,1639,0.9099830062533789,0.8889232733765764,189,3868,3868,1.0,0.9546476513143687,0.748801687409675,0.697989287287415
regular_cosine_similarity,ml-100k/u.data,4,2,1586,0.9163918389724691,0.9060411988596588,188,3854,3854,1.0,0.9548855224027218,0.7466639542128803,0.7057282646906409
regular_cosine_similarity,ml-100k/u.data,0,3,1719,0.9320078490971884,0.9498213482092188,189,4489,4489,1.0,0.950829897744886,0.7578768017825009,0.7448066693624131
regular_cosine_similarity,ml-100k/u.data,3,2,1574,0.9259038766308441,0.9517390939893489,188,3795,3795,1.0,0.9488102878116205,0.7580296851165039,0.7308670145342409
