Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,1,693,9782,0.9770768775208971,0.9564821566215634,189,3868,3868,1.0,0.9418809549086753,0.8100533538183716,0.760828145352739
diffusion_distance_similarity,ml-100k/u.data,4,425,8808,0.968718099400409,0.9625914221021168,188,3854,3854,1.0,0.9483923512602517,0.7965703925749419,0.7620868773517278
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8616,0.9428940129712348,0.9455777426287391,188,3854,3854,1.0,0.9504121458689169,0.7712929075767326,0.744257537396857
diffusion_distance_similarity,ml-100k/u.data,3,217,8511,0.9555356657361271,0.9889651927730605,188,3795,3795,1.0,0.9417622031596413,0.783300028147717,0.7684628373772314
regular_distance_similarity,ml-100k/u.data,3,2,3733,0.9777046453010548,1.0117721823934063,188,3795,3795,1.0,0.9374303822304352,0.8064006214202696,0.792777354189521
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8313,0.9503221329329506,0.9802043236925589,188,3795,3795,1.0,0.9425737908835697,0.779888389771059,0.7574953036978077
diffusion_distance_similarity,ml-100k/u.data,0,177,8869,0.9975627754750922,1.0183478578889236,189,4489,4489,1.0,0.9416358549567202,0.8152890483024074,0.8032796653690383
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8897,0.9673376140396613,0.9936796116591641,189,4489,4489,1.0,0.9460659342377752,0.7855195797632202,0.7805762900405792
regular_distance_similarity,ml-100k/u.data,1,2,3633,0.9931650542452586,0.9888909404486311,189,3868,3868,1.0,0.9346209029235856,0.8234274311200497,0.7869662885903886
diffusion_distance_similarity,ml-100k/u.data,2,170,8602,0.9879755619612984,1.0001345167600153,189,3994,3994,1.0,0.9405692539793281,0.8050723305609341,0.7885326931224899
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8636,0.9780914467240444,0.9875420536299839,189,3994,3994,1.0,0.9444328272196432,0.8003485610295038,0.7762514890240357
regular_distance_similarity,ml-100k/u.data,4,3,3761,0.9908361381162464,0.9869724407850303,188,3854,3854,1.0,0.9434264913576644,0.8155183871874017,0.7821356555026415
regular_distance_similarity,ml-100k/u.data,0,2,3995,1.0081019876234634,1.0389960580773612,189,4489,4489,1.0,0.938448862428127,0.8242961942033391,0.8206032919862887
regular_distance_similarity,ml-100k/u.data,2,2,3806,1.007941531696874,1.0252267212601671,189,3994,3994,1.0,0.9381324178482394,0.8248679563931977,0.8120499242969347
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8423,0.9445880982514366,0.9308348206311466,189,3868,3868,1.0,0.9478687991935418,0.7769073449022487,0.734211279504736
