Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,4,704,9782,0.9771348239598618,0.9644477989737962,188,3854,3854,1.0,0.9461210298703624,0.8037111981584937,0.7608908027917369
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8654,0.9416801767955526,0.9353919561366819,188,3854,3854,1.0,0.9522193513279061,0.7764647942563403,0.7352177615498668
diffusion_distance_similarity,ml-100k/u.data,2,367,8752,0.9942053199476406,1.0020850596600075,189,3994,3994,1.0,0.9415968667161444,0.8106310769099258,0.7890479330583619
diffusion_distance_similarity,ml-100k/u.data,1,200,8690,0.9787826128597364,0.9610535516139177,189,3868,3868,1.0,0.9426604799007166,0.8079813880630381,0.7607011551992664
diffusion_distance_similarity,ml-100k/u.data,0,173,8981,0.9949838629763118,1.0113997406280506,189,4489,4489,1.0,0.9414874066415957,0.8137008960187706,0.7978238866847742
regular_distance_similarity,ml-100k/u.data,0,2,4204,1.0081019876234634,1.0389960580773612,189,4489,4489,1.0,0.938448862428127,0.8242961942033391,0.8206032919862887
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8785,0.9701186937673482,0.9860084686729317,189,4489,4489,1.0,0.9482099092556086,0.7915310069725122,0.7753762626945164
regular_distance_similarity,ml-100k/u.data,1,2,3662,0.9931650542452586,0.9888909404486311,189,3868,3868,1.0,0.9346209029235856,0.8234274311200497,0.7869662885903886
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8793,0.9583668613678415,0.9696735314708795,189,3994,3994,1.0,0.9505081196949086,0.7834440798861679,0.7611295397337003
diffusion_distance_similarity,ml-100k/u.data,3,177,8529,0.9691668219417635,0.9961544997048187,188,3795,3795,1.0,0.9384359041674541,0.7998169687829914,0.7742078544090771
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8421,0.9379190086420665,0.9713476784108775,188,3795,3795,1.0,0.9466094322833597,0.7641818742314249,0.7512843459019382
diffusion_norm_distance_similarity,ml-100k/u.data,1,2,8613,0.9397887831845226,0.9291238645662397,189,3868,3868,1.0,0.9482794774700007,0.7752663381021946,0.7309962292465672
regular_distance_similarity,ml-100k/u.data,2,2,3796,1.007941531696874,1.0252267212601671,189,3994,3994,1.0,0.9381324178482394,0.8248679563931977,0.8120499242969347
regular_distance_similarity,ml-100k/u.data,3,2,3617,0.9777046453010548,1.0117721823934063,188,3795,3795,1.0,0.9374303822304352,0.8064006214202696,0.792777354189521
regular_distance_similarity,ml-100k/u.data,4,2,3665,0.9908361381162464,0.9869724407850303,188,3854,3854,1.0,0.9434264913576644,0.8155183871874017,0.7821356555026415
