Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,737,9167,0.9363307126090057,0.952738661435945,189,4489,4489,1.0,0.9514988233486017,0.7605505776004713,0.7469874164236119
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8193,0.9249564010997569,0.9442980735638761,189,4489,4489,1.0,0.9519290278882638,0.749939109944925,0.7386785966315964
diffusion_cosine_similarity,ml-100k/u.data,1,326,7883,0.915832095472608,0.8965109260930635,189,3868,3868,1.0,0.9518586029384144,0.7532766347706001,0.7054948633847096
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7653,0.9018328860475994,0.8857575142500713,189,3868,3868,1.0,0.9555896125434972,0.7411705805966979,0.694272607359141
diffusion_cosine_similarity,ml-100k/u.data,2,207,7863,0.9276639510083085,0.9356139642468867,189,3994,3994,1.0,0.9541226379095203,0.7568327255339785,0.7345205776341799
diffusion_cosine_similarity,ml-100k/u.data,4,199,7683,0.924609800370476,0.9186214506337516,188,3854,3854,1.0,0.9537107560116537,0.7543419499095919,0.7159703080437799
diffusion_cosine_similarity,ml-100k/u.data,3,180,7697,0.9243944476370948,0.9499935540963735,188,3795,3795,1.0,0.9494939050818256,0.7567242694266711,0.7352931630416877
regular_cosine_similarity,ml-100k/u.data,4,3,1625,0.9163918389724691,0.9060411988596588,188,3854,3854,1.0,0.9548855224027218,0.7466639542128803,0.7057282646906409
regular_cosine_similarity,ml-100k/u.data,2,2,1660,0.9283718775989497,0.9382653330185203,189,3994,3994,1.0,0.9549568874083018,0.7528698696909337,0.7307352271395736
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7641,0.9048362165129525,0.8969241348655097,188,3854,3854,1.0,0.9582710612113046,0.7339328632119303,0.6964508740050879
regular_cosine_similarity,ml-100k/u.data,1,2,1572,0.9099830062533789,0.8889232733765764,189,3868,3868,1.0,0.9546476513143687,0.748801687409675,0.697989287287415
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7976,0.9188082544357663,0.928318285698869,189,3994,3994,1.0,0.9565386720739137,0.746406948055325,0.7248500072176021
regular_cosine_similarity,ml-100k/u.data,0,2,1718,0.9320078490971884,0.9498213482092188,189,4489,4489,1.0,0.950829897744886,0.7578768017825009,0.7448066693624131
diffusion_norm_cosine_similarity,ml-100k/u.data,3,2,7519,0.9126836625788914,0.9393035598415567,188,3795,3795,1.0,0.9509954946326812,0.7482465035459865,0.7254850302273496
regular_cosine_similarity,ml-100k/u.data,3,2,1571,0.9259038766308441,0.9517390939893489,188,3795,3795,1.0,0.9488102878116205,0.7580296851165039,0.7308670145342409
