Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,750,9174,0.9295780123093531,0.9416008737210049,189,3994,3994,1.0,0.9543119697986536,0.7534988321773248,0.7367457060392344
diffusion_cosine_similarity,ml-100k/u.data,0,325,8202,0.9379313990971737,0.9526030380417906,189,4489,4489,1.0,0.9528307210690796,0.7639430393383432,0.7493026909829896
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7944,0.9259162693819758,0.9430063857936282,189,4489,4489,1.0,0.9535547032037649,0.7495809886579321,0.7372055515932184
diffusion_cosine_similarity,ml-100k/u.data,4,241,7949,0.9263311053593711,0.9206783994245116,188,3854,3854,1.0,0.9538517634584666,0.7541075652794368,0.7188887055010681
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7681,0.9039091599405144,0.8949388629807439,188,3854,3854,1.0,0.9580626633768935,0.73498294097677,0.6962777973691601
regular_cosine_similarity,ml-100k/u.data,2,3,1695,0.9283718775989497,0.9382653330185203,189,3994,3994,1.0,0.9549568874083018,0.7528698696909337,0.7307352271395736
diffusion_cosine_similarity,ml-100k/u.data,1,183,7829,0.9174971699448177,0.9010417422227726,189,3868,3868,1.0,0.9543807558529784,0.757020116483219,0.7089887412069678
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8129,0.9204441698678912,0.9275995509769188,189,3994,3994,1.0,0.9562947941260781,0.7479615132954326,0.7243358673633437
regular_cosine_similarity,ml-100k/u.data,4,2,1589,0.9163918389724691,0.9060411988596588,188,3854,3854,1.0,0.9548855224027218,0.7466639542128803,0.7057282646906409
diffusion_cosine_similarity,ml-100k/u.data,3,185,7732,0.925604877135892,0.9534803627951993,188,3795,3795,1.0,0.947857698736404,0.75850842158762,0.7381400258797368
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7584,0.9098714091877537,0.938628164507222,188,3795,3795,1.0,0.9501540233279838,0.74386802238849,0.724217333878604
diffusion_norm_cosine_similarity,ml-100k/u.data,1,2,7649,0.9003579350579715,0.8855737235667613,189,3868,3868,1.0,0.956083471182717,0.7391174070163873,0.694073020985502
regular_cosine_similarity,ml-100k/u.data,1,2,1563,0.9099830062533789,0.8889232733765764,189,3868,3868,1.0,0.9546476513143687,0.748801687409675,0.697989287287415
regular_cosine_similarity,ml-100k/u.data,0,3,1723,0.9320078490971884,0.9498213482092188,189,4489,4489,1.0,0.950829897744886,0.7578768017825009,0.7448066693624131
regular_cosine_similarity,ml-100k/u.data,3,2,1574,0.9259038766308441,0.9517390939893489,188,3795,3795,1.0,0.9488102878116205,0.7580296851165039,0.7308670145342409
