Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,4,725,10450,0.9921633626479558,0.9830174141173248,188,3854,3854,1.0,0.9427200477418405,0.8173330120894032,0.7798398496937892
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8585,1.0050303570518213,1.0013698459629305,188,3854,3854,1.0,0.9393639625510485,0.8269426899907114,0.7941261524579276
diffusion_distance_similarity,ml-100k/u.data,0,347,9076,1.0086002296461656,1.0380525456731693,189,4489,4489,1.0,0.9369116599405563,0.8260592656289313,0.8215034526557895
regular_distance_similarity,ml-100k/u.data,0,2,4296,1.0081019876234634,1.0389960580773612,189,4489,4489,1.0,0.938448862428127,0.8242961942033391,0.8206032919862887
diffusion_distance_similarity,ml-100k/u.data,3,204,8536,0.9832656741759909,1.0159255996839547,188,3795,3795,1.0,0.9345858991366907,0.8114841156557083,0.7948382251075002
regular_distance_similarity,ml-100k/u.data,3,2,3684,0.9777046453010548,1.0117721823934063,188,3795,3795,1.0,0.9374303822304352,0.8064006214202696,0.792777354189521
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8795,0.9905492799936092,1.0252168309162213,188,3795,3795,1.0,0.9337180862840824,0.816815601135109,0.8030415302775106
diffusion_distance_similarity,ml-100k/u.data,2,184,8716,1.0061159515463265,1.0238372448138937,189,3994,3994,1.0,0.9371241924048928,0.8222478998484705,0.808380280873337
diffusion_distance_similarity,ml-100k/u.data,1,171,8489,0.9934285871031874,0.9849772372516858,189,3868,3868,1.0,0.9375505763384999,0.8228969304334683,0.7830285740618299
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8517,1.0217610022580417,1.0390860127052672,189,3994,3994,1.0,0.9344595112427109,0.8355887347175353,0.8243431554465812
regular_distance_similarity,ml-100k/u.data,1,2,3694,0.9931650542452586,0.9888909404486311,189,3868,3868,1.0,0.9346209029235856,0.8234274311200497,0.7869662885903886
regular_distance_similarity,ml-100k/u.data,4,3,3816,0.9908361381162464,0.9869724407850303,188,3854,3854,1.0,0.9434264913576644,0.8155183871874017,0.7821356555026415
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8809,1.0190549482274958,1.05263055067761,189,4489,4489,1.0,0.9345039610140679,0.8340634225558524,0.8335113235074206
regular_distance_similarity,ml-100k/u.data,2,3,3828,1.007941531696874,1.0252267212601671,189,3994,3994,1.0,0.9381324178482394,0.8248679563931977,0.8120499242969347
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8467,1.0050326769624731,1.0026813613791474,189,3868,3868,1.0,0.9332442819252027,0.8332466172010123,0.7989075796494498
