Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,713,9375,0.9665165622516876,0.9701802444270996,189,4071,4071,1.0,0.9465824804801221,0.7887001900516278,0.7657458974356092
diffusion_cosine_similarity,ml-100k/u.data,0,332,7779,0.9251920210329408,0.9240515787232735,189,4027,4027,1.0,0.9526132234270586,0.7549374561867795,0.7197721017612011
regular_cosine_similarity,ml-100k/u.data,0,3,1716,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7673,0.9388565707877088,0.9409920156450277,189,4027,4027,1.0,0.9492633813614374,0.770797723419348,0.7339425586420085
regular_cosine_similarity,ml-100k/u.data,2,2,1655,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,191,7585,0.9115954248198793,0.9169362428618795,188,3586,3586,1.0,0.9507494317259404,0.7424630203298538,0.7174285825562018
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7463,0.9199523463347133,0.9214836746282802,188,3586,3586,1.0,0.951189012550291,0.7519751344476976,0.7244578903415559
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7769,0.9773634276588694,0.9770191161418297,189,4071,4071,1.0,0.9431229035189193,0.8032640212284654,0.774629516719203
diffusion_cosine_similarity,ml-100k/u.data,4,202,7801,0.9453349890701294,0.9497118430307845,188,4101,4101,1.0,0.9500592140545893,0.7736978159906973,0.7431234960463592
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7751,0.9715456301848719,0.9657992451721132,188,4101,4101,1.0,0.9466793404404805,0.7978334083819455,0.7599284721096368
diffusion_cosine_similarity,ml-100k/u.data,1,173,7941,0.9355711086932538,0.9337403790228396,189,4215,4215,1.0,0.9488814258380477,0.7647883917119198,0.726810650791265
diffusion_norm_cosine_similarity,ml-100k/u.data,1,2,8080,0.9377059819499574,0.9469828586407188,189,4215,4215,1.0,0.9489848848732557,0.7689937385588281,0.7402521986007551
regular_cosine_similarity,ml-100k/u.data,1,2,1624,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,3,1611,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,3,2,1518,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
