Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,3,445,8334,0.8940013899917845,0.9000110720364598,188,3586,3586,1.0,0.9551089992401,0.7297175726174495,0.7054361834077616
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,7489,0.8940013899917845,0.9000110720364598,188,3586,3586,1.0,0.9551089992401,0.7297175726174495,0.7054361834077616
diffusion_cosine_similarity,ml-100k/u.data,0,193,7823,0.9216303192716375,0.9149171953363491,189,4027,4027,1.0,0.9522468079101533,0.7519841131701996,0.7129844712485639
diffusion_cosine_similarity,ml-100k/u.data,4,179,7811,0.9385656070149575,0.9393749311750684,188,4101,4101,1.0,0.9507976250970173,0.7691425914645961,0.7381289868931599
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7772,0.9425222224885915,0.938840100462345,188,4101,4101,1.0,0.9529062253754123,0.7724217909299403,0.7371784351291859
diffusion_cosine_similarity,ml-100k/u.data,1,169,7874,0.9258743617601252,0.9207365851654844,189,4215,4215,1.0,0.9527736933532346,0.7550813976908063,0.715823934802342
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7793,0.9199234221109013,0.9161302681078043,189,4027,4027,1.0,0.9514052697209648,0.7467969066314706,0.7119786611417049
regular_cosine_similarity,ml-100k/u.data,0,2,1603,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7863,0.9254030319896592,0.9234551225113394,189,4215,4215,1.0,0.9530183173969079,0.7554295474696108,0.7180038445464088
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7530,0.8959254017688607,0.9033323086210895,188,3586,3586,1.0,0.9561074282049621,0.7321114760920079,0.7071339633657048
regular_cosine_similarity,ml-100k/u.data,3,1,1545,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_cosine_similarity,ml-100k/u.data,2,165,7785,0.952950892880766,0.9585891010651825,189,4071,4071,1.0,0.9479673004363552,0.7819458196197995,0.7561453435523255
regular_cosine_similarity,ml-100k/u.data,2,1,1604,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,7837,0.952950892880766,0.9585891010651825,189,4071,4071,1.0,0.9479673004363552,0.7819458196197995,0.7561453435523254
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7674,0.9576121570849156,0.9609229486033254,189,4071,4071,1.0,0.9489712991483972,0.783662126381072,0.7569558480186018
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,7691,0.9216303192716375,0.9149171953363491,189,4027,4027,1.0,0.9522468079101533,0.7519841131701996,0.7129844712485639
regular_cosine_similarity,ml-100k/u.data,4,1,1607,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,1,1,1622,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,7862,0.9258743617601252,0.9207365851654844,189,4215,4215,1.0,0.9527736933532346,0.7550813976908063,0.715823934802342
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,7848,0.9385656070149575,0.9393749311750684,188,4101,4101,1.0,0.9507976250970173,0.7691425914645961,0.7381289868931598
