Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,1,445,9270,0.9819354328648715,0.9888637191599874,189,4215,4215,1.0,0.9424399860893974,0.8079673999530115,0.7772753612757284
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8462,0.9817492534680671,0.988715350157329,189,4215,4215,1.0,0.9423540506070992,0.8079335638363966,0.7772754999681462
diffusion_distance_similarity,ml-100k/u.data,4,207,8374,1.002838958989784,1.0131808650252236,188,4101,4101,1.0,0.93999526407895,0.8234244214327593,0.8036825031662679
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8309,1.003952242233159,1.0208605224869458,188,4101,4101,1.0,0.9389208053618422,0.8236270098426351,0.8119136266703778
regular_distance_similarity,ml-100k/u.data,1,2,3741,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_distance_similarity,ml-100k/u.data,0,173,8278,0.9848789960746486,0.9874933191076292,189,4027,4027,1.0,0.9416366730724297,0.8055330139672497,0.7771374370051696
regular_distance_similarity,ml-100k/u.data,0,1,3634,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,3,171,8157,0.9663207856086905,0.9618926209124468,188,3586,3586,1.0,0.9440504288658574,0.7968480548152709,0.7668320978694152
regular_distance_similarity,ml-100k/u.data,3,1,3476,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8001,0.9730412279722425,0.969320432593619,188,3586,3586,1.0,0.9415133733940978,0.8076886112713365,0.7770701475966209
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8242,0.9950609075793122,0.9971571234550871,189,4027,4027,1.0,0.9402576732435882,0.8148188503223414,0.7849445601572937
diffusion_distance_similarity,ml-100k/u.data,2,164,8302,1.0232142949943268,1.0240226048521661,189,4071,4071,1.0,0.9301547844078507,0.8426762869594864,0.8129457685619348
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8228,1.0255891782517568,1.029503483347646,189,4071,4071,1.0,0.9311995981776885,0.8461230182068362,0.8193123128956651
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8381,1.0026627264291113,1.013068888241509,188,4101,4101,1.0,0.9399244771235039,0.8231602757659777,0.8034996259928261
regular_distance_similarity,ml-100k/u.data,4,1,3697,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8422,0.9974379654638617,0.9997556996074374,189,4215,4215,1.0,0.9374092087775466,0.8221205072729476,0.7883409036054027
regular_distance_similarity,ml-100k/u.data,2,1,3741,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8418,1.0231138889803844,1.0240550398126875,189,4071,4071,1.0,0.9303992478180704,0.8427203565017578,0.8131867603231345
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,8090,0.9665253661373971,0.9620798220091198,188,3586,3586,1.0,0.943826530382328,0.7973034352419118,0.7672428057045172
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8261,0.9848543427350647,0.9874352900328063,189,4027,4027,1.0,0.9417477829397524,0.8055957438439411,0.7771497006627859
