Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,4,433,8706,0.951777058309069,0.9514991710652144,188,4101,4101,1.0,0.9492759100865149,0.7805296288758373,0.7462166072916719
regular_cosine_similarity,ml-100k/u.data,4,2,1639,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_cosine_similarity,ml-100k/u.data,3,205,7691,0.8967751796014504,0.9085672325939687,188,3586,3586,1.0,0.9529997479788501,0.7332614805711762,0.7115120168769401
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,7751,0.8965604044325591,0.9084189186469278,188,3586,3586,1.0,0.9529412252100344,0.7328736085031881,0.7111313238697418
diffusion_cosine_similarity,ml-100k/u.data,2,165,8012,0.9505854566851033,0.9609717340604188,189,4071,4071,1.0,0.9492015535006139,0.7805840374406189,0.7594805920096707
regular_cosine_similarity,ml-100k/u.data,2,2,1644,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,1,174,8085,0.9369487391724002,0.9304128415180108,189,4215,4215,1.0,0.9515624890403477,0.7651022761080744,0.7253359411487729
regular_cosine_similarity,ml-100k/u.data,1,1,1643,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8109,0.9532525413689333,0.9497832183314927,188,4101,4101,1.0,0.9511324552035998,0.7802067125913484,0.7438039718657744
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7955,0.9617871904399418,0.962537327797359,189,4071,4071,1.0,0.9474410498421058,0.7883217671269105,0.760820951283385
diffusion_cosine_similarity,ml-100k/u.data,0,159,7995,0.9293325825262367,0.9236306097283135,189,4027,4027,1.0,0.9529632969176103,0.7567373775132644,0.7190615145085963
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,7932,0.9291830405971206,0.9235827301392556,189,4027,4027,1.0,0.9530791522323181,0.7566472607805079,0.7190296619117705
regular_cosine_similarity,ml-100k/u.data,0,2,1628,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1576,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7957,0.9281132100634262,0.9248669410866166,189,4027,4027,1.0,0.9535558545471784,0.756815415872084,0.7178296356363587
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7723,0.9016083112355082,0.9054277041200592,188,3586,3586,1.0,0.9536958639496541,0.7362370174598867,0.7093469423317
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,8063,0.9368198100661403,0.9304262364750132,189,4215,4215,1.0,0.951524864489416,0.7650008640809786,0.7252733476406372
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,8021,0.950741269903748,0.9610866347391567,189,4071,4071,1.0,0.9492284878653872,0.7806909251488087,0.7596070258311642
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,8022,0.9518527672529201,0.9514562158341628,188,4101,4101,1.0,0.9493199142855361,0.7805757432757747,0.7461326790107394
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8222,0.9227999912442139,0.9304878469172306,189,4215,4215,1.0,0.9518188482963613,0.7520609670284127,0.7240736922233396
