Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,413,8802,0.9570776672530167,0.964007563383323,189,4027,4027,1.0,0.9470331591765225,0.7856080354711278,0.7559222707666952
diffusion_cosine_similarity,ml-100k/u.data,1,205,8080,0.9465321683249142,0.9599244459222404,189,4215,4215,1.0,0.9478616422707168,0.769992364057179,0.7456368090781152
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,8113,0.9465321683249142,0.9599244459222404,189,4215,4215,1.0,0.9478616422707168,0.7699923640571787,0.7456368090781152
regular_cosine_similarity,ml-100k/u.data,1,2,1751,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_cosine_similarity,ml-100k/u.data,4,178,7974,0.9806917817868761,0.9821118272785656,188,4101,4101,1.0,0.9453750522580031,0.8055913646446082,0.7716132981892506
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,8031,0.9806917817868764,0.9821118272785655,188,4101,4101,1.0,0.9453750522580031,0.8055913646446083,0.7716132981892508
diffusion_cosine_similarity,ml-100k/u.data,2,160,8105,0.9902336988899335,1.004028636830574,189,4071,4071,1.0,0.9405526962564562,0.8111307089831934,0.7936430079788906
regular_cosine_similarity,ml-100k/u.data,2,2,1749,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,8166,0.944235964567747,0.9518256655414048,189,4215,4215,1.0,0.9472202746959905,0.7695315530083042,0.7402087091640976
diffusion_cosine_similarity,ml-100k/u.data,3,161,7696,0.9208693730386575,0.928759481165047,188,3586,3586,1.0,0.9519996694549557,0.7495231191655178,0.7287584746411286
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7782,0.9191928647300985,0.9183682422821647,188,3586,3586,1.0,0.9529339298711833,0.7507612182251747,0.7241822855492391
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,7730,0.9208693730386575,0.928759481165047,188,3586,3586,1.0,0.9519996694549557,0.7495231191655178,0.7287584746411284
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7989,0.9502766787559386,0.9552266020899202,189,4027,4027,1.0,0.9479132704362679,0.7796229193157324,0.748200264244084
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,8073,0.9888857970634041,0.9905545185308126,189,4071,4071,1.0,0.9407846493582978,0.8101940974333515,0.7849252226968716
regular_cosine_similarity,ml-100k/u.data,4,3,1715,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,8085,0.9902336988899335,1.004028636830574,189,4071,4071,1.0,0.9405526962564562,0.8111307089831934,0.7936430079788906
regular_cosine_similarity,ml-100k/u.data,3,2,1620,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
regular_cosine_similarity,ml-100k/u.data,0,2,1690,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,7913,0.9570776672530167,0.964007563383323,189,4027,4027,1.0,0.9470331591765225,0.7856080354711279,0.7559222707666952
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,8066,0.9777731228800915,0.972510891706162,188,4101,4101,1.0,0.9455958118965718,0.8014097092871809,0.7633254935207402
