Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,4,433,8894,1.00163576274282,1.0167224499418914,188,4101,4101,1.0,0.9406589003214512,0.82255449708187,0.8069832048818655
regular_distance_similarity,ml-100k/u.data,4,2,3702,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8228,1.00163576274282,1.0167224499418914,188,4101,4101,1.0,0.9406589003214512,0.82255449708187,0.8069832048818655
diffusion_distance_similarity,ml-100k/u.data,2,206,8273,1.027692086188956,1.0268218769748358,189,4071,4071,1.0,0.929390678799739,0.8465803578574352,0.8163419595379943
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8237,1.0347984323015458,1.0422437209663933,189,4071,4071,1.0,0.9299230585073803,0.8534654857159639,0.8291590946980627
diffusion_distance_similarity,ml-100k/u.data,0,165,8278,0.987088446189523,0.9888988633481831,189,4027,4027,1.0,0.9409871672536605,0.8091515119423506,0.7791496906770183
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8330,1.00224698825837,1.0077685932234273,189,4027,4027,1.0,0.9386863441671104,0.8217650300500964,0.7961397531319535
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8233,0.987088446189523,0.9888988633481831,189,4027,4027,1.0,0.9409871672536605,0.8091515119423506,0.7791496906770183
diffusion_distance_similarity,ml-100k/u.data,3,172,8055,0.963994558786116,0.9617428636174016,188,3586,3586,1.0,0.9430609328959417,0.7981610683229012,0.7695806532430509
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,7985,0.963994558786116,0.9617428636174016,188,3586,3586,1.0,0.9430609328959417,0.7981610683229012,0.7695806532430509
diffusion_distance_similarity,ml-100k/u.data,1,163,8442,0.9821591787758467,0.9918558584893474,189,4215,4215,1.0,0.9404757062356494,0.808308527730418,0.7796120177110503
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8379,1.0006677447768926,1.0122925105960885,189,4215,4215,1.0,0.9353366526500334,0.8244647896865318,0.7984135052009906
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8285,1.0184468678883554,1.0365353819435632,188,4101,4101,1.0,0.9382249128177466,0.8379412056850369,0.825450218730132
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,8056,0.9810568119012302,0.9827248097639664,188,3586,3586,1.0,0.9394555027224092,0.8143947471285214,0.7871360500662442
regular_distance_similarity,ml-100k/u.data,0,1,3608,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
regular_distance_similarity,ml-100k/u.data,1,1,3695,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8381,0.9821591787758466,0.9918558584893474,189,4215,4215,1.0,0.9404757062356494,0.808308527730418,0.7796120177110503
regular_distance_similarity,ml-100k/u.data,2,1,3663,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
regular_distance_similarity,ml-100k/u.data,3,1,3432,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8278,1.027692086188956,1.0268218769748358,189,4071,4071,1.0,0.929390678799739,0.8465803578574354,0.8163419595379943
