Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,3,443,8759,0.9652835908088072,0.9660100100054859,188,3586,3586,1.0,0.9428678372212324,0.7981446446984188,0.7711785042457581
diffusion_distance_similarity,ml-100k/u.data,2,202,8250,1.0261600264091224,1.0303288840853873,189,4071,4071,1.0,0.9292606576527721,0.8454019825338358,0.8180641506277597
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8172,1.0353406923189554,1.0435249901483754,189,4071,4071,1.0,0.929501697003684,0.8541781349520807,0.8292899324792976
diffusion_distance_similarity,ml-100k/u.data,0,162,8274,0.9880999058860757,0.9915038092798323,189,4027,4027,1.0,0.9403490366696545,0.8106035640568408,0.7821445001166183
regular_distance_similarity,ml-100k/u.data,0,2,3659,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,1,169,8443,0.9853033522877086,0.9975764747884116,189,4215,4215,1.0,0.9383413232203642,0.8114912948394425,0.7854254690741579
regular_distance_similarity,ml-100k/u.data,1,1,3769,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8321,0.9880999058860757,0.9915038092798323,189,4027,4027,1.0,0.9403490366696545,0.8106035640568408,0.7821445001166183
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8408,0.9853033522877086,0.9975764747884116,189,4215,4215,1.0,0.9383413232203642,0.8114912948394425,0.7854254690741579
regular_distance_similarity,ml-100k/u.data,3,2,3451,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_distance_similarity,ml-100k/u.data,4,173,8448,1.0058899530766165,1.0222805360111318,188,4101,4101,1.0,0.9388600011036127,0.8263741827699755,0.8118628490605216
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8245,1.003473342883588,1.0088136572930688,189,4027,4027,1.0,0.9370787183449817,0.8225122230108339,0.7971855172428319
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8301,1.0234187144158213,1.0398206045648704,188,4101,4101,1.0,0.9362196959221788,0.8422994537467758,0.8277475618398955
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8359,1.0261600264091224,1.0303288840853875,189,4071,4071,1.0,0.9292606576527721,0.8454019825338358,0.8180641506277597
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8469,1.0009817113265327,1.012373990744783,189,4215,4215,1.0,0.9359806246611891,0.8249013130592115,0.7992125440417055
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7998,0.9822154946896341,0.9814586844829404,188,3586,3586,1.0,0.9380863420697358,0.8141499840941214,0.7859906406954551
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8394,1.0058899530766165,1.0222805360111318,188,4101,4101,1.0,0.9388600011036127,0.8263741827699754,0.8118628490605216
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,8088,0.9652835908088072,0.9660100100054859,188,3586,3586,1.0,0.9428678372212324,0.7981446446984188,0.7711785042457581
regular_distance_similarity,ml-100k/u.data,2,2,3673,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
regular_distance_similarity,ml-100k/u.data,4,1,3834,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
