alpha_nL,diffusion_abs_distance_similarity_RMSE.ByUser_improvement,diffusion_abs_distance_similarity_RMSE.ByUser_average,diffusion_abs_distance_similarity_RMSE.ByRating_improvement,diffusion_abs_distance_similarity_RMSE.ByRating_average,diffusion_abs_distance_similarity_MAE.ByUser_improvement,diffusion_abs_distance_similarity_MAE.ByUser_average,diffusion_abs_distance_similarity_MAE.ByRating_improvement,diffusion_abs_distance_similarity_MAE.ByRating_average,diffusion_distance_similarity_RMSE.ByUser_improvement,diffusion_distance_similarity_RMSE.ByUser_average,diffusion_distance_similarity_RMSE.ByRating_improvement,diffusion_distance_similarity_RMSE.ByRating_average,diffusion_distance_similarity_MAE.ByUser_improvement,diffusion_distance_similarity_MAE.ByUser_average,diffusion_distance_similarity_MAE.ByRating_improvement,diffusion_distance_similarity_MAE.ByRating_average,diffusion_norm_distance_similarity_RMSE.ByUser_improvement,diffusion_norm_distance_similarity_RMSE.ByUser_average,diffusion_norm_distance_similarity_RMSE.ByRating_improvement,diffusion_norm_distance_similarity_RMSE.ByRating_average,diffusion_norm_distance_similarity_MAE.ByUser_improvement,diffusion_norm_distance_similarity_MAE.ByUser_average,diffusion_norm_distance_similarity_MAE.ByRating_improvement,diffusion_norm_distance_similarity_MAE.ByRating_average,regular_distance_similarity_RMSE.ByUser_improvement,regular_distance_similarity_RMSE.ByUser_average,regular_distance_similarity_RMSE.ByRating_improvement,regular_distance_similarity_RMSE.ByRating_average,regular_distance_similarity_MAE.ByUser_improvement,regular_distance_similarity_MAE.ByUser_average,regular_distance_similarity_MAE.ByRating_improvement,regular_distance_similarity_MAE.ByRating_average
0.5,-0.258454754177,0.995389697215,-0.247354062971,1.0043856144,-0.20579451416,0.819171989788,-0.227253396632,0.795857526919,-0.113496420198,0.993950516524,-0.117103579878,1.00308062523,-0.141652341423,0.818647634171,-0.160622672628,0.795328443646,-0.470449306536,0.997494429367,-0.483148197584,1.00674805318,-0.534134998932,0.821856139239,-0.58885777077,0.798728857352,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
1.0,-0.34686893279,0.996267494132,-0.252406506006,1.00443623519,-0.325521183999,0.820150742912,-0.263017022233,0.796141509066,-0.181371037401,0.994624391808,0.030702779647,1.00159974244,-0.249611810991,0.819530191651,-0.0155994804386,0.794176882617,-0.785097342104,1.00061832963,-0.819222122408,1.01011520255,-0.880700856377,0.824689279222,-0.980238976707,0.801836631616,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
2.0,-0.362074666741,0.996418460262,-0.282243046613,1.00473516969,-0.372138682192,0.82053183613,-0.28700381381,0.796331976908,0.0722389380723,0.992106491873,0.340384942689,0.998497014066,0.0259091447994,0.817277836379,0.286865543949,0.791775149973,-1.14799586239,1.00422127213,-1.14875364526,1.01341680312,-1.22443065122,0.827499234688,-1.34687560347,0.804747920803,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
3.0,-0.369974033903,0.996496887051,-0.279866216307,1.00471135605,-0.373002432064,0.820538897196,-0.302579788571,0.796455658405,0.0909708911554,0.991920516604,0.489180006637,0.997006225375,0.101041319233,0.816663638636,0.477520836982,0.790261245872,-1.36286002098,1.00635449442,-1.34482445805,1.01538125101,-1.43408134682,0.829213107407,-1.53962045555,0.806278417111,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
4.0,-0.380857004397,0.996604935761,-0.304648730232,1.00495965388,-0.383647326975,0.820625918109,-0.330847703626,0.796680120637,0.0987655624642,0.99184312926,0.581499598966,0.996081268588,0.115791525647,0.816543057226,0.602975272185,0.789265071147,-1.55377306132,1.00824992432,-1.43954464469,1.01633025953,-1.6040383417,0.830602488234,-1.65879804672,0.807224750367,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
5.0,-0.386439722953,0.996660362314,-0.31905913754,1.00510403281,-0.3991401847,0.820752570616,-0.344114371999,0.796785465017,0.113963078246,0.991692244722,0.633293844741,0.99556233823,0.11481205146,0.816551064326,0.669859649857,0.78873397373,-1.60110872435,1.008719884,-1.47022512886,1.01663764956,-1.69645516372,0.83135798618,-1.70905646351,0.80762382884,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
6.0,-0.369816113923,0.996495319184,-0.323450431897,1.00514802951,-0.399964401592,0.820759308504,-0.369827137788,0.796989638009,0.115957158668,0.991672447019,0.689976468806,0.99499443085,0.101306396233,0.816661471659,0.723944100583,0.788304514519,-1.62170955477,1.00892441393,-1.40379563088,1.01597208753,-1.72080008088,0.831557003356,-1.62364912133,0.806945649265,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
7.0,-0.352902517081,0.996327396986,-0.306417137395,1.00497737168,-0.396085564909,0.820727599416,-0.360950073188,0.796919149409,0.091022866851,0.991920000577,0.713410584854,0.994759642718,0.0887388000487,0.816764210456,0.759909411338,0.788018930885,-1.75697702557,1.01026738143,-1.4190816779,1.01612523956,-1.81924767555,0.832361802244,-1.65963969035,0.807231433463,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
8.0,-0.354861651446,0.996346847737,-0.304352232061,1.00495668325,-0.397514503617,0.820739280842,-0.352317526631,0.796850602413,0.034541061382,0.992480765326,0.699591991411,0.994898092222,0.0767779465255,0.816861989194,0.760876753976,0.788011249671,-1.74983886326,1.01019651207,-1.33342693502,1.01526705839,-1.84064435418,0.832536717876,-1.60257276193,0.806778291798,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
9.0,-0.353159407306,0.996329947453,-0.30776412336,1.00499086724,-0.401182642439,0.820769267497,-0.35922212606,0.796905428593,-0.0175585431077,0.992998022546,0.700394988346,0.994890046936,0.0112295143185,0.817397840837,0.743929852605,0.788145817052,-1.70540695154,1.00975538152,-1.22527883986,1.01418351467,-1.7966832208,0.832177340164,-1.49384429573,0.805914930134,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
