Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,413,8433,0.9257661358107383,0.9167412850041311,189,4027,4027,1.0,0.951972795044964,0.753776454673469,0.7129608151383133
diffusion_cosine_similarity,ml-100k/u.data,4,195,7662,0.9417520618895355,0.9422830143556057,188,4101,4101,1.0,0.9508448888993024,0.7707121692579051,0.7373529774079726
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,7697,0.9290249633051924,0.925741861424977,188,4101,4101,1.0,0.9543888291043165,0.7592057455505806,0.7235033627197175
diffusion_cosine_similarity,ml-100k/u.data,3,168,7405,0.8991212084760077,0.9068203857161549,188,3586,3586,1.0,0.9534392212909776,0.7334637511295259,0.7093873063241544
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7487,0.8832280338661036,0.8908078074372509,188,3586,3586,1.0,0.9561030101539322,0.7201847366948104,0.6953158078217189
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,7637,0.9100032157106076,0.9044298440464777,189,4027,4027,1.0,0.9566236217228379,0.7416393269055545,0.7031765486539063
diffusion_cosine_similarity,ml-100k/u.data,2,157,7742,0.9480480646830728,0.9564008927990548,189,4071,4071,1.0,0.9497478739478084,0.7773064601981601,0.7547081994803867
regular_cosine_similarity,ml-100k/u.data,2,2,1639,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
regular_cosine_similarity,ml-100k/u.data,4,1,1582,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,7413,0.8900072986621783,0.8935409549288175,188,3586,3586,1.0,0.9545189760969484,0.7262039952787388,0.6985950561067626
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7677,0.9423575694990438,0.942809825047188,189,4071,4071,1.0,0.9493274072317587,0.7709614851167275,0.7440297441326309
diffusion_cosine_similarity,ml-100k/u.data,1,156,7842,0.9269285980568459,0.9209360050862403,189,4215,4215,1.0,0.9525762246341788,0.7568444923678159,0.7170686128806111
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,7848,0.9057307876196642,0.9067681101551671,189,4215,4215,1.0,0.956479969159923,0.7359584814903322,0.7022265690659031
regular_cosine_similarity,ml-100k/u.data,0,2,1616,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7834,0.9090655428958361,0.9108570399259353,189,4215,4215,1.0,0.9544629566978714,0.740866363546111,0.7070832167750103
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,7776,0.9448843378683669,0.9478997078189035,189,4071,4071,1.0,0.9512724623844494,0.7739022987060014,0.7463092939552369
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7754,0.9276087032239712,0.9267107946419841,188,4101,4101,1.0,0.9548029425344009,0.7567735630866855,0.7245347745839331
regular_cosine_similarity,ml-100k/u.data,3,2,1543,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7700,0.9069129503767609,0.904669519282789,189,4027,4027,1.0,0.9534834513204373,0.7398337096324533,0.7007110721460079
regular_cosine_similarity,ml-100k/u.data,1,2,1615,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
