Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,3,429,8189,0.9169173356475337,0.9271397559711269,188,3586,3586,1.0,0.9524765537552777,0.7468966082530578,0.7264432032318952
diffusion_cosine_similarity,ml-100k/u.data,4,202,7703,0.9682156237365133,0.9669987265127601,188,4101,4101,1.0,0.9467990092688079,0.7910144711689141,0.7556464657815815
regular_cosine_similarity,ml-100k/u.data,4,2,1593,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_cosine_similarity,ml-100k/u.data,0,164,7773,0.945008772622058,0.9451932907052538,189,4027,4027,1.0,0.9485920416764372,0.7700413201446291,0.7357242789401087
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,7690,0.9088184760371268,0.9048676694687727,189,4027,4027,1.0,0.9565287602811252,0.7413687198147646,0.7040522211822519
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,7483,0.8884229537596467,0.892996740816828,188,3586,3586,1.0,0.9552734454565645,0.7255690749575475,0.6990715021775795
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7740,0.9413245753284454,0.9423222992375452,189,4027,4027,1.0,0.9493121065359669,0.7705816416743565,0.7339757478871257
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7774,0.9679812839959748,0.9620765714410401,188,4101,4101,1.0,0.9468125631019493,0.7933114735595925,0.7556520434653402
regular_cosine_similarity,ml-100k/u.data,0,2,1587,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_cosine_similarity,ml-100k/u.data,2,160,7685,0.972868719425081,0.9803240377638553,189,4071,4071,1.0,0.9435780940240448,0.7929028947899045,0.7721689260002267
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,7613,0.9459708810948423,0.9486827590182365,189,4071,4071,1.0,0.9509073757781946,0.7745079189167938,0.7467783065306179
diffusion_cosine_similarity,ml-100k/u.data,1,160,7853,0.9448850628610634,0.9448810242816377,189,4215,4215,1.0,0.9476903785392851,0.7729343689247229,0.7350132187491779
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,7851,0.9064997506403164,0.9074501539922538,189,4215,4215,1.0,0.9564824856035086,0.7359699779818146,0.7025061030927318
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7885,0.9354591936504172,0.945649902836686,189,4215,4215,1.0,0.9497114013908664,0.7660270809025347,0.7380085921701228
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7765,0.9766556960319253,0.9766082459116023,189,4071,4071,1.0,0.9437971356698199,0.8026221172877319,0.7746023280384849
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,7735,0.9291024240823147,0.9260152418231379,188,4101,4101,1.0,0.9539166638792107,0.7594717742425996,0.7236806552522369
regular_cosine_similarity,ml-100k/u.data,2,2,1626,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7539,0.9230916354298231,0.9234130455878369,188,3586,3586,1.0,0.9507967356116614,0.7555176814294983,0.72651164797939
regular_cosine_similarity,ml-100k/u.data,3,2,1518,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
regular_cosine_similarity,ml-100k/u.data,1,2,1605,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
