Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,3,427,8192,0.890571263770706,0.896039137221509,188,3586,3586,1.0,0.9565211782152797,0.7281602868955388,0.7036434623364084
diffusion_abs_cosine_similarity,ml-100k/u.data,3,1,7395,0.886796898434548,0.8917186564323365,188,3586,3586,1.0,0.9567469051861841,0.7248785747252711,0.6987185903673221
diffusion_cosine_similarity,ml-100k/u.data,4,203,7766,0.9320041899923203,0.9305470472087478,188,4101,4101,1.0,0.9534754698493947,0.7606597823731207,0.7285456622570269
diffusion_abs_cosine_similarity,ml-100k/u.data,4,1,7612,0.9296791869222026,0.9273819581539606,188,4101,4101,1.0,0.954016047842164,0.7582607072777007,0.725146571509171
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7646,0.923643228846771,0.9213805458322589,188,4101,4101,1.0,0.9557637203762344,0.7545193566709159,0.7216075121830675
diffusion_cosine_similarity,ml-100k/u.data,2,162,7723,0.9531891473566382,0.9533321016650246,189,4071,4071,1.0,0.9479478825796696,0.781296234558887,0.7506963562174082
diffusion_norm_cosine_similarity,ml-100k/u.data,2,0,7669,0.9446933058605432,0.9421960926556062,189,4071,4071,1.0,0.9481612373893372,0.7724319085774614,0.7406969787779302
diffusion_cosine_similarity,ml-100k/u.data,1,170,7797,0.9153006947170588,0.915007299796586,189,4215,4215,1.0,0.9522241747828838,0.7443536761185845,0.7090968927624242
regular_cosine_similarity,ml-100k/u.data,1,2,1636,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_cosine_similarity,ml-100k/u.data,0,157,7614,0.9125107758557254,0.9083694944984717,189,4027,4027,1.0,0.9554320797069518,0.7450848100606675,0.7081047565841561
regular_cosine_similarity,ml-100k/u.data,0,1,1562,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
diffusion_abs_cosine_similarity,ml-100k/u.data,0,1,7544,0.9131083630587327,0.9069581787017119,189,4027,4027,1.0,0.954355645701663,0.7456998067616102,0.7060343838259739
regular_cosine_similarity,ml-100k/u.data,4,1,1549,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_abs_cosine_similarity,ml-100k/u.data,1,1,7800,0.9111912485462246,0.9111389124883941,189,4215,4215,1.0,0.9552694256047602,0.739783379021571,0.70492833143025
regular_cosine_similarity,ml-100k/u.data,3,2,1480,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_cosine_similarity,ml-100k/u.data,0,0,7546,0.9066010541007927,0.9012734143543906,189,4027,4027,1.0,0.955506392097684,0.7384656049644746,0.6999943003264215
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7362,0.8803282983659485,0.8866486189831383,188,3586,3586,1.0,0.9583241785472351,0.716621742593927,0.692070515846066
diffusion_abs_cosine_similarity,ml-100k/u.data,2,1,7660,0.9486394376275629,0.9485623374231474,189,4071,4071,1.0,0.949523878173152,0.7767594968233478,0.7462043176238324
diffusion_norm_cosine_similarity,ml-100k/u.data,1,0,7782,0.908464010277814,0.9090673004342663,189,4215,4215,1.0,0.9549839518071075,0.7377643797879736,0.7033204018903024
regular_cosine_similarity,ml-100k/u.data,2,1,1592,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
