Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_distance_similarity,ml-100k/u.data,3,454,8949,0.9625832835647865,0.9601900467251402,188,3586,3586,1.0,0.9436676230272923,0.7991324750373104,0.7686180953782381
diffusion_norm_distance_similarity,ml-100k/u.data,3,2,7750,0.9830937897979055,0.9833919662730689,188,3586,3586,1.0,0.9404439230557513,0.8157652498448255,0.7875820608866095
diffusion_distance_similarity,ml-100k/u.data,0,194,7981,0.988014844706334,0.9885017267033775,189,4027,4027,1.0,0.9405247294157246,0.8111743100407875,0.779900556166066
regular_distance_similarity,ml-100k/u.data,0,2,3575,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
diffusion_distance_similarity,ml-100k/u.data,2,171,8145,1.025644140305432,1.0253020748038446,189,4071,4071,1.0,0.929499521016732,0.8450211698921549,0.8154450820330155
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,8303,1.036896253801033,1.0428065911175488,189,4071,4071,1.0,0.929642535814184,0.8546475410511962,0.829366947168727
diffusion_distance_similarity,ml-100k/u.data,4,178,8174,1.0055081460842947,1.0184096749338754,188,4101,4101,1.0,0.9386241571480374,0.8269076794717808,0.8095598495987548
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,8087,1.0191776136523778,1.0353116563871345,188,4101,4101,1.0,0.9380795728885657,0.839056462265531,0.8248674508101017
diffusion_abs_distance_similarity,ml-100k/u.data,4,1,8153,1.011601556780143,1.0287754664706064,188,4101,4101,1.0,0.9373635075807815,0.8320207793871706,0.8179587171944127
diffusion_abs_distance_similarity,ml-100k/u.data,2,1,8051,1.0283744895426912,1.03096158314034,189,4071,4071,1.0,0.9309011690977468,0.8471071350543837,0.8189972044312649
diffusion_distance_similarity,ml-100k/u.data,1,167,8387,0.9854853399835577,0.9927861840881295,189,4215,4215,1.0,0.940514641689759,0.8103952421101762,0.7799265975024179
regular_distance_similarity,ml-100k/u.data,1,3,3837,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_abs_distance_similarity,ml-100k/u.data,0,1,8466,0.9897171323276172,0.9972018916756196,189,4027,4027,1.0,0.9387666772668416,0.8111372414146809,0.7875769743374893
regular_distance_similarity,ml-100k/u.data,4,1,3808,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffusion_abs_distance_similarity,ml-100k/u.data,3,1,8436,0.9641605314281839,0.9690912516925994,188,3586,3586,1.0,0.9438835488918269,0.7999084375243889,0.7748369047249558
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,8604,1.0058155397308373,1.010097586350281,189,4027,4027,1.0,0.9364443344203001,0.8257410669083586,0.7998447189749301
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,8694,1.0029177133553127,1.0114449681244444,189,4215,4215,1.0,0.9356485797745698,0.8251158794594855,0.7967185850621092
diffusion_abs_distance_similarity,ml-100k/u.data,1,1,8825,0.9904132460635469,1.0016768539257952,189,4215,4215,1.0,0.9375236428677114,0.8162729550560255,0.7890069400315701
regular_distance_similarity,ml-100k/u.data,2,1,3799,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
regular_distance_similarity,ml-100k/u.data,3,2,3612,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
